Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2020-09-18,20:30,Bayern Munich,3.9,8–0,0.2,Schalke 04,Allianz Arena,Felix Zwayer,Match Report,
1,Sat,2020-09-19,15:30,Köln,2.7,2–3,2.6,Hoffenheim,RheinEnergieSTADION,Daniel Siebert,Match Report,
1,Sat,2020-09-19,15:30,Union Berlin,1.2,1–3,1.5,Augsburg,4600,Stadion An der Alten Försterei,Marco Fritz,Match Report,
1,Sat,2020-09-19,15:30,Stuttgart,2.6,2–3,1.9,Freiburg,7123,Mercedes-Benz Arena,Benjamin Cortus,Match Report,
1,Sat,2020-09-19,15:30,Werder Bremen,0.7,1–4,1.8,Hertha BSC,8400,Weserstadion,Sascha Stegemann,Match Report,
1,Sat,2020-09-19,15:30,Eint Frankfurt,2.3,1–1,0.8,Arminia,6500,Deutsche Bank Park,Benjamin Brand,Match Report,
1,Sat,2020-09-19,18:30,Dortmund,1.8,3–0,0.6,M'Gladbach,9300,Signal Iduna Park,Felix Brych,Match Report,
1,Sun,2020-09-20,15:30,RB Leipzig,2.8,3–1,1.2,Mainz 05,8500,Red Bull Arena,Manuel Gräfe,Match Report,
1,Sun,2020-09-20,18:00,Wolfsburg,0.9,0–0,0.5,Leverkusen,Volkswagen Arena,Sven Jablonski,Match Report,
2,Fri,2020-09-25,20:30,Hertha BSC,1.2,1–3,1.5,Eint Frankfurt,4000,Olympiastadion Berlin,Bastian Dankert,Match Report,
2,Sat,2020-09-26,15:30,Augsburg,1.2,2–0,1.8,Dortmund,6000,WWK Arena,Martin Petersen,Match Report,
2,Sat,2020-09-26,15:30,Leverkusen,0.9,1–1,0.9,RB Leipzig,6042,BayArena,Harm Osmers,Match Report,
2,Sat,2020-09-26,15:30,M'Gladbach,1.8,1–1,0.8,Union Berlin,10383,Stadion im Borussia-Park,Tobias Stieler,Match Report,
2,Sat,2020-09-26,15:30,Mainz 05,1.3,1–4,2.6,Stuttgart,3403,Opel Arena,Daniel Schlager,Match Report,
2,Sat,2020-09-26,15:30,Arminia,0.2,1–0,1.4,Köln,5460,SchücoArena,Patrick Ittrich,Match Report,
2,Sat,2020-09-26,18:30,Schalke 04,1.6,1–3,2.4,Werder Bremen,Veltins-Arena,Markus Schmidt,Match Report,
2,Sun,2020-09-27,15:30,Hoffenheim,2.6,4–1,1.4,Bayern Munich,PreZero Arena,Benjamin Brand,Match Report,
2,Sun,2020-09-27,18:00,Freiburg,1.3,1–1,0.5,Wolfsburg,3200,Schwarzwald-Stadion,Sören Storks,Match Report,
3,Fri,2020-10-02,20:30,Union Berlin,2.5,4–0,0.3,Mainz 05,4400,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,
3,Sat,2020-10-03,15:30,Stuttgart,0.8,1–1,1.5,Leverkusen,9500,Mercedes-Benz Arena,Robert Hartmann,Match Report,
3,Sat,2020-10-03,15:30,Dortmund,2.5,4–0,0.5,Freiburg,11500,Signal Iduna Park,Guido Winkmann,Match Report,
3,Sat,2020-10-03,15:30,Köln,0.6,1–3,2.1,M'Gladbach,300,RheinEnergieSTADION,Marco Fritz,Match Report,
3,Sat,2020-10-03,15:30,Werder Bremen,0.4,1–0,1.1,Arminia,300,Weserstadion,Robert Schröder,Match Report,
3,Sat,2020-10-03,15:30,Eint Frankfurt,2.9,2–1,1.4,Hoffenheim,8000,Deutsche Bank Park,Manuel Gräfe,Match Report,
3,Sat,2020-10-03,18:30,RB Leipzig,3.9,4–0,0.2,Schalke 04,8500,Red Bull Arena,Florian Badstübner,Match Report,
3,Sun,2020-10-04,15:30,Wolfsburg,1.0,0–0,1.2,Augsburg,4632,Volkswagen Arena,Felix Zwayer,Match Report,
3,Sun,2020-10-04,18:00,Bayern Munich,3.6,4–3,1.1,Hertha BSC,Allianz Arena,Benjamin Cortus,Match Report,
4,Sat,2020-10-17,15:30,Augsburg,1.0,0–2,2.1,RB Leipzig,WWK Arena,Felix Brych,Match Report,
4,Sat,2020-10-17,15:30,Freiburg,1.3,1–1,1.6,Werder Bremen,Schwarzwald-Stadion,Christian Dingert,Match Report,
4,Sat,2020-10-17,15:30,Hoffenheim,1.2,0–1,2.0,Dortmund,6030,PreZero Arena,Sascha Stegemann,Match Report,
4,Sat,2020-10-17,15:30,Hertha BSC,1.1,0–2,1.3,Stuttgart,4000,Olympiastadion Berlin,Harm Osmers,Match Report,
4,Sat,2020-10-17,15:30,Mainz 05,0.3,0–1,0.5,Leverkusen,250,Opel Arena,Bastian Dankert,Match Report,
4,Sat,2020-10-17,18:30,Arminia,1.4,1–4,3.1,Bayern Munich,SchücoArena,Daniel Siebert,Match Report,
4,Sat,2020-10-17,20:30,M'Gladbach,1.9,1–1,1.4,Wolfsburg,300,Stadion im Borussia-Park,Daniel Schlager,Match Report,
4,Sun,2020-10-18,15:30,Köln,1.4,1–1,1.9,Eint Frankfurt,300,RheinEnergieSTADION,Sven Jablonski,Match Report,
4,Sun,2020-10-18,18:00,Schalke 04,0.4,1–1,1.0,Union Berlin,300,Veltins-Arena,Patrick Ittrich,Match Report,
5,Fri,2020-10-23,20:30,Stuttgart,0.8,1–1,2.2,Köln,Mercedes-Benz Arena,Guido Winkmann,Match Report,
