
Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
1,Fri,2021-08-13,20:30,M'Gladbach,2.3,1–1,2.5,Bayern Munich,22,925,Stadion im Borussia-Park,Marco Fritz,Match Report,
1,Sat,2021-08-14,15:30,Stuttgart,3.0,5–1,1.2,Greuther Fürth,18,109,Mercedes-Benz Arena,Felix Zwayer,Match Report,
1,Sat,2021-08-14,15:30,Union Berlin,0.5,1–1,0.8,Leverkusen,11,000,Stadion An der Alten Försterei,Tobias Reichel,Match Report,
1,Sat,2021-08-14,15:30,Wolfsburg,2.0,1–0,0.4,Bochum,8,536,Volkswagen Arena,Frank Willenborg,Match Report,
1,Sat,2021-08-14,15:30,Arminia,0.4,0–0,1.6,Freiburg,13,750,SchücoArena,Sven Jablonski,Match Report,
1,Sat,2021-08-14,15:30,Augsburg,0.6,0–4,3.8,Hoffenheim,9,124,WWK Arena,Felix Brych,Match Report,
1,Sat,2021-08-14,18:30,Dortmund,2.7,5–2,1.3,Eint Frankfurt,25,000,Signal Iduna Park,Tobias Stieler,Match Report,
1,Sun,2021-08-15,15:30,Mainz 05,1.2,1–0,1.1,RB Leipzig,10,500,Mewa Arena,Daniel Siebert,Match Report,
1,Sun,2021-08-15,17:30,Köln,1.6,3–1,1.8,Hertha BSC,16,500,RheinEnergieSTADION,Robert Hartmann,Match Report,
2,Fri,2021-08-20,20:30,RB Leipzig,3.6,4–0,1.1,Stuttgart,23,100,Red Bull Arena,Florian Badstübner,Match Report,
2,Sat,2021-08-21,15:30,Hertha BSC,1.2,1–2,1.0,Wolfsburg,18,241,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,
2,Sat,2021-08-21,15:30,Bochum,0.8,2–0,0.9,Mainz 05,12,548,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
2,Sat,2021-08-21,15:30,Greuther Fürth,2.5,1–1,0.8,Arminia,5,890,Sportpark Ronhof Thomas Sommer,Daniel Schlager,Match Report,
2,Sat,2021-08-21,15:30,Freiburg,1.3,2–1,1.6,Dortmund,10,100,Schwarzwald-Stadion,Robert Schröder,Match Report,
2,Sat,2021-08-21,15:30,Eint Frankfurt,1.6,0–0,0.3,Augsburg,22,000,Deutsche Bank Park,Harm Osmers,Match Report,
2,Sat,2021-08-21,18:30,Leverkusen,1.9,4–0,1.7,M'Gladbach,15,105,BayArena,Deniz Aytekin,Match Report,
2,Sun,2021-08-22,15:30,Hoffenheim,1.0,2–2,1.8,Union Berlin,8,014,PreZero Arena,Sascha Stegemann,Match Report,
2,Sun,2021-08-22,17:30,Bayern Munich,2.6,3–2,1.1,Köln,20,000,Allianz Arena,Martin Petersen,Match Report,
3,Fri,2021-08-27,20:30,Dortmund,3.4,3–2,2.2,Hoffenheim,25,000,Signal Iduna Park,Felix Zwayer,Match Report,
3,Sat,2021-08-28,15:30,Mainz 05,2.7,3–0,0.2,Greuther Fürth,11,500,Mewa Arena,Tobias Reichel,Match Report,
3,Sat,2021-08-28,15:30,Stuttgart,1.8,2–3,1.3,Freiburg,25,000,Mercedes-Benz Arena,Frank Willenborg,Match Report,
3,Sat,2021-08-28,15:30,Arminia,0.6,1–1,1.5,Eint Frankfurt,13,750,SchücoArena,Bastian Dankert,Match Report,
3,Sat,2021-08-28,15:30,Augsburg,1.8,1–4,2.0,Leverkusen,10,582,WWK Arena,Benjamin Brand,Match Report,
3,Sat,2021-08-28,15:30,Köln,3.2,2–1,0.6,Bochum,25,000,RheinEnergieSTADION,Benjamin Cortus,Match Report,
3,Sat,2021-08-28,18:30,Bayern Munich,2.8,5–0,0.4,Hertha BSC,25,000,Allianz Arena,Sven Jablonski,Match Report,
3,Sun,2021-08-29,15:30,Union Berlin,1.9,2–1,1.8,M'Gladbach,11,006,Stadion An der Alten Försterei,Felix Brych,Match Report,
3,Sun,2021-08-29,17:30,Wolfsburg,0.8,1–0,1.1,RB Leipzig,12,058,Volkswagen Arena,Tobias Stieler,Match Report,
4,Sat,2021-09-11,15:30,Freiburg,0.8,1–1,1.1,Köln,10,000,Schwarzwald-Stadion,Harm Osmers,Match Report,
4,Sat,2021-09-11,15:30,Hoffenheim,0.7,0–2,0.9,Mainz 05,8,427,PreZero Arena,Marco Fritz,Match Report,
4,Sat,2021-09-11,15:30,Union Berlin,1.0,0–0,1.0,Augsburg,10,207,Stadion An der Alten Försterei,Martin Petersen,Match Report,
4,Sat,2021-09-11,15:30,Leverkusen,0.7,3–4,1.8,Dortmund,17,605,BayArena,Daniel Siebert,Match Report,
4,Sat,2021-09-11,15:30,Greuther Fürth,0.3,0–2,1.4,Wolfsburg,9,000,Sportpark Ronhof Thomas Sommer,Robert Hartmann,Match Report,
4,Sat,2021-09-11,18:30,RB Leipzig,0.5,1–4,3.9,Bayern Munich,34,000,Red Bull Arena,Deniz Aytekin,Match Report,
4,Sun,2021-09-12,15:30,Eint Frankfurt,1.1,1–1,0.9,Stuttgart,25,000,Deutsche Bank Park,Matthias Jöllenbeck,Match Report,
4,Sun,2021-09-12,17:30,Bochum,1.2,1–3,0.3,Hertha BSC,14,000,Vonovia Ruhrstadion,Robert Schröder,Match Report,
4,Sun,2021-09-12,19:30,M'Gladbach,1.7,3–1,1.8,Arminia,24,500,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
5,Fri,2021-09-17,20:30,Hertha BSC,0.7,2–1,1.4,Greuther Fürth,21,372,Olympiastadion Berlin,Tobias Stieler,Match Report,
5,Sat,2021-09-18,15:30,Augsburg,0.3,1–0,0.6,M'Gladbach,12,500,WWK Arena,Florian Badstübner,Match Report,
5,Sat,2021-09-18,15:30,Arminia,1.1,0–0,1.1,Hoffenheim,13,750,SchücoArena,Patrick Ittrich,Match Report,
5,Sat,2021-09-18,15:30,Bayern Munich,5.6,7–0,0.4,Bochum,25,000,Allianz Arena,Tobias Welz,Match Report,
5,Sat,2021-09-18,15:30,Mainz 05,0.9,0–0,0.4,Freiburg,13,500,Mewa Arena,Benjamin Brand,Match Report,
5,Sat,2021-09-18,18:30,Köln,1.7,1–1,2.7,RB Leipzig,25,000,RheinEnergieSTADION,Felix Brych,Match Report,
5,Sun,2021-09-19,15:30,Stuttgart,1.6,1–3,1.4,Leverkusen,23,450,Mercedes-Benz Arena,Benjamin Cortus,Match Report,
5,Sun,2021-09-19,17:30,Dortmund,0.9,4–2,1.6,Union Berlin,25,000,Signal Iduna Park,Sven Jablonski,Match Report,
5,Sun,2021-09-19,19:30,Wolfsburg,1.2,1–1,0.3,Eint Frankfurt,9,266,Volkswagen Arena,Felix Zwayer,Match Report,
6,Fri,2021-09-24,20:30,Greuther Fürth,0.7,1–3,0.8,Bayern Munich,11,740,Sportpark Ronhof Thomas Sommer,Robert Schröder,Match Report,
6,Sat,2021-09-25,15:30,Eint Frankfurt,0.9,1–1,0.9,Köln,24,000,Deutsche Bank Park,Martin Petersen,Match Report,
6,Sat,2021-09-25,15:30,Hoffenheim,1.5,3–1,0.6,Wolfsburg,8,523,PreZero Arena,Daniel Siebert,Match Report,
6,Sat,2021-09-25,15:30,Leverkusen,1.5,1–0,0.9,Mainz 05,16,624,BayArena,Bastian Dankert,Match Report,
6,Sat,2021-09-25,15:30,Union Berlin,1.2,1–0,0.5,Arminia,11,000,Stadion An der Alten Försterei,Marco Fritz,Match Report,
6,Sat,2021-09-25,15:30,RB Leipzig,3.8,6–0,0.2,Hertha BSC,23,500,Red Bull Arena,Sascha Stegemann,Match Report,
6,Sat,2021-09-25,18:30,M'Gladbach,1.6,1–0,0.4,Dortmund,25,000,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
6,Sun,2021-09-26,15:30,Bochum,0.8,0–0,0.3,Stuttgart,15,300,Vonovia Ruhrstadion,Christian Dingert,Match Report,
6,Sun,2021-09-26,17:30,Freiburg,3.1,3–0,0.2,Augsburg,14,400,Schwarzwald-Stadion,Daniel Schlager,Match Report,
7,Fri,2021-10-01,20:30,Köln,2.9,3–1,1.3,Greuther Fürth,40,000,RheinEnergieSTADION,Matthias Jöllenbeck,Match Report,
7,Sat,2021-10-02,15:30,Stuttgart,0.8,3–1,1.0,Hoffenheim,24,211,Mercedes-Benz Arena,Harm Osmers,Match Report,
7,Sat,2021-10-02,15:30,Dortmund,3.0,2–1,0.8,Augsburg,41,000,Signal Iduna Park,Tobias Welz,Match Report,
7,Sat,2021-10-02,15:30,Hertha BSC,1.0,1–2,0.7,Freiburg,18,376,Olympiastadion Berlin,Patrick Ittrich,Match Report,
7,Sat,2021-10-02,15:30,Wolfsburg,1.3,1–3,3.3,M'Gladbach,12,845,Volkswagen Arena,Frank Willenborg,Match Report,
7,Sat,2021-10-02,18:30,RB Leipzig,3.2,3–0,1.5,Bochum,25,598,Red Bull Arena,Robert Hartmann,Match Report,
7,Sun,2021-10-03,15:30,Mainz 05,1.1,1–2,1.4,Union Berlin,16,000,Mewa Arena,Tobias Stieler,Match Report,
7,Sun,2021-10-03,17:30,Bayern Munich,2.2,1–2,0.8,Eint Frankfurt,25,000,Allianz Arena,Florian Badstübner,Match Report,
7,Sun,2021-10-03,19:30,Arminia,0.4,0–4,3.1,Leverkusen,16,250,SchücoArena,Felix Zwayer,Match Report,
8,Fri,2021-10-15,20:30,Hoffenheim,3.7,5–0,0.7,Köln,14,309,PreZero Arena,Tobias Reichel,Match Report,
8,Sat,2021-10-16,15:30,Eint Frankfurt,1.6,1–2,1.8,Hertha BSC,32,000,Deutsche Bank Park,Deniz Aytekin,Match Report,
8,Sat,2021-10-16,15:30,Union Berlin,0.9,2–0,1.5,Wolfsburg,11,000,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,
8,Sat,2021-10-16,15:30,Freiburg,1.4,1–1,1.7,RB Leipzig,20,000,Europa-Park Stadion,Daniel Siebert,Match Report,
8,Sat,2021-10-16,15:30,Greuther Fürth,0.8,0–1,1.6,Bochum,10,586,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Match Report,
8,Sat,2021-10-16,15:30,Dortmund,2.3,3–1,0.8,Mainz 05,63,812,Signal Iduna Park,Daniel Schlager,Match Report,
8,Sat,2021-10-16,18:30,M'Gladbach,2.6,1–1,0.3,Stuttgart,41,608,Stadion im Borussia-Park,Felix Brych,Match Report,
8,Sun,2021-10-17,15:30,Leverkusen,0.7,1–5,3.2,Bayern Munich,29,542,BayArena,Sven Jablonski,Match Report,
8,Sun,2021-10-17,17:30,Augsburg,0.6,1–1,0.3,Arminia,17,500,WWK Arena,Robert Schröder,Match Report,
9,Fri,2021-10-22,20:30,Mainz 05,3.7,4–1,0.9,Augsburg,19,400,Mewa Arena,Robert Hartmann,Match Report,
9,Sat,2021-10-23,15:30,Bayern Munich,2.8,4–0,0.7,Hoffenheim,60,000,Allianz Arena,Matthias Jöllenbeck,Match Report,
9,Sat,2021-10-23,15:30,Wolfsburg,1.3,0–2,1.5,Freiburg,10,251,Volkswagen Arena,Tobias Welz,Match Report,
9,Sat,2021-10-23,15:30,RB Leipzig,2.3,4–1,1.4,Greuther Fürth,24,758,Red Bull Arena,Christian Dingert,Match Report,
9,Sat,2021-10-23,15:30,Arminia,1.4,1–3,2.4,Dortmund,25,000,SchücoArena,Benjamin Brand,Match Report,
9,Sat,2021-10-23,18:30,Hertha BSC,1.0,1–0,0.5,M'Gladbach,25,000,Olympiastadion Berlin,Benjamin Cortus,Match Report,
9,Sun,2021-10-24,15:30,Köln,1.8,2–2,0.9,Leverkusen,49,600,RheinEnergieSTADION,Felix Zwayer,Match Report,
9,Sun,2021-10-24,17:30,Stuttgart,0.5,1–1,1.0,Union Berlin,32,595,Mercedes-Benz Arena,Florian Badstübner,Match Report,
9,Sun,2021-10-24,19:30,Bochum,2.1,2–0,1.6,Eint Frankfurt,19,510,Vonovia Ruhrstadion,Marco Fritz,Match Report,
10,Fri,2021-10-29,20:30,Hoffenheim,0.9,2–0,0.3,Hertha BSC,8,127,PreZero Arena,Sven Jablonski,Match Report,
10,Sat,2021-10-30,15:30,Freiburg,1.5,3–1,0.8,Greuther Fürth,31,500,Europa-Park Stadion,Felix Brych,Match Report,
10,Sat,2021-10-30,15:30,Leverkusen,1.5,0–2,1.8,Wolfsburg,20,132,BayArena,Deniz Aytekin,Match Report,
10,Sat,2021-10-30,15:30,Dortmund,1.4,2–0,1.3,Köln,66,709,Signal Iduna Park,Martin Petersen,Match Report,
10,Sat,2021-10-30,15:30,Union Berlin,0.9,2–5,3.2,Bayern Munich,16,509,Stadion An der Alten Försterei,Harm Osmers,Match Report,
10,Sat,2021-10-30,15:30,Arminia,0.6,1–2,2.5,Mainz 05,19,477,SchücoArena,Bastian Dankert,Match Report,
10,Sat,2021-10-30,18:30,Eint Frankfurt,0.6,1–1,3.0,RB Leipzig,31,000,Deutsche Bank Park,Daniel Schlager,Match Report,
10,Sun,2021-10-31,15:30,Augsburg,2.1,4–1,0.9,Stuttgart,17,500,WWK Arena,Patrick Ittrich,Match Report,
10,Sun,2021-10-31,17:30,M'Gladbach,1.9,2–1,0.8,Bochum,42,361,Stadion im Borussia-Park,Tobias Reichel,Match Report,
11,Fri,2021-11-05,20:30,Mainz 05,1.1,1–1,1.6,M'Gladbach,25,000,Mewa Arena,Robert Schröder,Match Report,
11,Sat,2021-11-06,15:30,Bochum,2.9,2–0,0.6,Hoffenheim,19,600,Vonovia Ruhrstadion,Frank Willenborg,Match Report,
11,Sat,2021-11-06,15:30,Stuttgart,0.9,0–1,1.7,Arminia,33,550,Mercedes-Benz Arena,Christian Dingert,Match Report,
11,Sat,2021-11-06,15:30,Bayern Munich,2.8,2–1,1.0,Freiburg,75,000,Allianz Arena,Sascha Stegemann,Match Report,
11,Sat,2021-11-06,15:30,Wolfsburg,0.5,1–0,0.7,Augsburg,16,095,Volkswagen Arena,Marco Fritz,Match Report,
11,Sat,2021-11-06,18:30,RB Leipzig,2.6,2–1,0.9,Dortmund,43,429,Red Bull Arena,Felix Zwayer,Match Report,
11,Sun,2021-11-07,15:30,Hertha BSC,0.8,1–1,1.0,Leverkusen,22,187,Olympiastadion Berlin,Robert Hartmann,Match Report,
11,Sun,2021-11-07,17:30,Köln,1.8,2–2,1.0,Union Berlin,49,000,RheinEnergieSTADION,Tobias Stieler,Match Report,
11,Sun,2021-11-07,19:30,Greuther Fürth,2.4,1–2,1.2,Eint Frankfurt,10,244,Sportpark Ronhof Thomas Sommer,Daniel Siebert,Match Report,
12,Fri,2021-11-19,20:30,Augsburg,0.4,2–1,1.2,Bayern Munich,26,000,WWK Arena,Daniel Siebert,Match Report,
12,Sat,2021-11-20,15:30,Hoffenheim,3.1,2–0,0.2,RB Leipzig,13,233,PreZero Arena,Tobias Welz,Match Report,
12,Sat,2021-11-20,15:30,Dortmund,2.2,2–1,1.6,Stuttgart,57,900,Signal Iduna Park,Harm Osmers,Match Report,
12,Sat,2021-11-20,15:30,Leverkusen,1.7,1–0,0.8,Bochum,22,538,BayArena,Daniel Schlager,Match Report,
12,Sat,2021-11-20,15:30,Arminia,1.3,2–2,1.9,Wolfsburg,19,801,SchücoArena,Martin Petersen,Match Report,
12,Sat,2021-11-20,15:30,M'Gladbach,3.1,4–0,0.2,Greuther Fürth,38,621,Stadion im Borussia-Park,Benjamin Brand,Match Report,
12,Sat,2021-11-20,18:30,Union Berlin,1.5,2–0,0.4,Hertha BSC,22,012,Stadion An der Alten Försterei,Felix Brych,Match Report,
12,Sun,2021-11-21,15:30,Freiburg,1.4,0–2,1.2,Eint Frankfurt,32,500,Europa-Park Stadion,Florian Badstübner,Match Report,
12,Sun,2021-11-21,17:30,Mainz 05,0.8,1–1,2.2,Köln,25,500,Mewa Arena,Deniz Aytekin,Match Report,
13,Fri,2021-11-26,20:30,Stuttgart,0.3,2–1,0.8,Mainz 05,25,000,Mercedes-Benz Arena,Matthias Jöllenbeck,Match Report,
13,Sat,2021-11-27,15:30,Hertha BSC,1.7,1–1,1.2,Augsburg,14,523,Olympiastadion Berlin,Frank Willenborg,Match Report,
13,Sat,2021-11-27,15:30,Wolfsburg,1.9,1–3,2.3,Dortmund,13,281,Volkswagen Arena,Sven Jablonski,Match Report,
13,Sat,2021-11-27,15:30,Bochum,1.1,2–1,2.2,Freiburg,19,700,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
13,Sat,2021-11-27,15:30,Köln,1.4,4–1,1.0,M'Gladbach,50,000,RheinEnergieSTADION,Robert Schröder,Match Report,
13,Sat,2021-11-27,15:30,Greuther Fürth,1.1,3–6,4.0,Hoffenheim,3,385,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Match Report,
13,Sat,2021-11-27,18:30,Bayern Munich,2.2,1–0,0.3,Arminia,12,000,Allianz Arena,Marco Fritz,Match Report,
13,Sun,2021-11-28,15:30,Eint Frankfurt,1.3,2–1,1.1,Union Berlin,24,000,Deutsche Bank Park,Sascha Stegemann,Match Report,
13,Sun,2021-11-28,17:30,RB Leipzig,1.5,1–3,1.4,Leverkusen,750,0,Red Bull Arena,Benjamin Cortus,Match Report,
14,Fri,2021-12-03,20:30,Union Berlin,2.4,2–1,1.4,RB Leipzig,13,506,Stadion An der Alten Försterei,Harm Osmers,Match Report,
