Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arminia,26,34.0,549,311,270,235,44,238,543,43.8,305,395,110,285,421,970,770,7
Augsburg,26,34.0,561,335,254,236,71,250,584,42.8,334,397,116,281,363,924,769,12
Bayern Munich,30,34.0,563,338,231,237,95,259,559,46.3,300,338,68,270,349,912,404,18
Bochum,28,34.0,566,353,298,199,69,277,574,48.3,297,420,119,301,429,995,616,13
Dortmund,33,34.0,541,322,232,236,73,255,550,46.4,295,351,82,269,347,888,519,11
Eint Frankfurt,27,34.0,595,330,260,252,83,283,673,42.1,390,435,95,340,377,972,592,12
Freiburg,26,34.0,518,299,246,207,65,215,477,45.1,262,352,130,222,355,873,751,13
Greuther Fürth,29,34.0,568,336,258,252,58,270,567,47.6,297,416,124,292,374,942,712,8
Hertha BSC,36,34.0,546,321,294,197,55,252,544,46.3,292,377,105,272,406,952,816,15
Hoffenheim,32,34.0,483,291,191,216,76,223,484,46.1,261,390,88,302,285,768,520,17
Köln,26,34.0,598,361,264,246,88,288,665,43.3,377,442,99,343,426,1024,628,10
Leverkusen,29,34.0,484,281,235,199,50,225,493,45.6,268,350,101,249,360,844,620,12
M'Gladbach,26,34.0,572,345,260,252,60,285,615,46.3,330,402,91,311,326,898,553,13
Mainz 05,28,34.0,579,305,291,220,68,282,595,47.4,313,404,94,310,439,1018,584,9
RB Leipzig,29,34.0,499,289,218,222,59,219,512,42.8,293,399,81,318,349,848,523,12
Stuttgart,34,34.0,532,307,231,236,65,241,530,45.5,289,386,124,262,342,874,708,8
Union Berlin,28,34.0,538,296,266,223,49,268,568,47.2,300,322,90,232,376,914,657,7
Wolfsburg,30,34.0,539,298,278,201,60,257,540,47.6,283,388,103,285,388,927,740,9
