Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arminia,26,34.0,26,361,109,30.2,10.62,3.21,0.07,0.22,19.7,10,2,2,26.3,24.7,0.07,-0.3,-0.7
Augsburg,26,34.0,39,362,117,32.3,10.65,3.44,0.09,0.29,17.8,11,5,5,36.7,32.8,0.09,+2.3,+1.2
Bayern Munich,30,34.0,92,668,255,38.2,19.65,7.50,0.13,0.34,16.7,12,5,5,89.0,85.1,0.13,+3.0,+1.9
Bochum,28,34.0,37,409,136,33.3,12.03,4.00,0.08,0.24,18.2,17,4,6,40.6,35.9,0.09,-3.6,-2.9
Dortmund,33,34.0,81,442,165,37.3,13.00,4.85,0.16,0.42,16.7,20,11,11,64.0,55.9,0.13,+17.0,+14.1
Eint Frankfurt,27,34.0,43,446,136,30.5,13.12,4.00,0.09,0.31,17.8,14,1,2,41.6,40.1,0.09,+1.4,+1.9
Freiburg,26,34.0,55,457,153,33.5,13.44,4.50,0.11,0.33,16.7,20,5,6,50.4,45.7,0.10,+4.6,+4.3
Greuther Fürth,29,34.0,26,309,96,31.1,9.09,2.82,0.07,0.22,18.2,13,5,5,30.0,26.2,0.09,-4.0,-5.2
Hertha BSC,36,34.0,35,365,119,32.6,10.74,3.50,0.09,0.27,17.5,15,3,3,33.3,30.9,0.09,+1.7,+1.1
Hoffenheim,32,34.0,55,452,150,33.2,13.29,4.41,0.12,0.37,15.1,13,0,0,58.3,58.3,0.13,-3.3,-3.3
Köln,26,34.0,52,467,149,31.9,13.74,4.38,0.11,0.34,16.3,9,1,1,50.1,49.3,0.11,+1.9,+1.7
Leverkusen,29,34.0,76,453,184,40.6,13.32,5.41,0.16,0.40,16.4,11,2,6,62.6,57.8,0.13,+13.4,+16.2
M'Gladbach,26,34.0,54,489,174,35.6,14.38,5.12,0.10,0.28,16.8,13,5,7,56.2,50.6,0.11,-2.2,-1.6
Mainz 05,28,34.0,49,465,151,32.5,13.68,4.44,0.10,0.30,17.6,22,4,4,50.4,47.2,0.10,-1.4,-2.2
RB Leipzig,29,34.0,72,429,169,39.4,12.62,4.97,0.15,0.38,16.3,18,8,9,64.5,58.4,0.14,+7.5,+5.6
Stuttgart,34,34.0,40,449,153,34.1,13.21,4.50,0.09,0.25,17.5,10,1,3,43.7,41.4,0.09,-3.7,-2.4
Union Berlin,28,34.0,50,408,149,36.5,12.00,4.38,0.11,0.30,16.2,7,5,5,47.0,43.3,0.11,+3.0,+1.7
Wolfsburg,30,34.0,42,416,137,32.9,12.24,4.03,0.09,0.28,17.9,19,3,4,47.7,44.9,0.11,-5.7,-5.9
