Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arminia,26,25.8,40.7,34,374,3060,34.0,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,0.76,0.53,1.29,0.71,1.24,0.77,0.51,1.28,0.73,1.23
Augsburg,26,26.6,41.5,34,374,3060,34.0,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,1.15,0.76,1.91,1.00,1.76,1.08,0.70,1.78,0.96,1.67
Bayern Munich,30,26.8,64.5,34,374,3060,34.0,92,70,162,87,5,5,36,2,89.0,85.1,66.7,151.8,833,2164,2.71,2.06,4.76,2.56,4.62,2.62,1.96,4.58,2.50,4.46
Bochum,28,28.0,44.7,34,374,3060,34.0,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,1.09,0.65,1.74,0.97,1.62,1.19,0.78,1.98,1.06,1.84
Dortmund,33,25.9,59.2,34,374,3060,34.0,81,57,138,70,11,11,63,1,64.0,55.9,45.0,100.8,670,1468,2.38,1.68,4.06,2.06,3.74,1.88,1.32,3.21,1.64,2.97
Eint Frankfurt,27,26.2,49.6,34,374,3060,34.0,43,33,76,42,1,2,61,1,41.6,40.1,32.0,72.1,609,1255,1.26,0.97,2.24,1.24,2.21,1.22,0.94,2.16,1.18,2.12
Freiburg,26,26.5,49.0,34,374,3060,34.0,55,37,92,50,5,6,34,0,50.4,45.7,34.5,80.2,401,1229,1.62,1.09,2.71,1.47,2.56,1.48,1.01,2.50,1.35,2.36
Greuther Fürth,29,25.9,43.6,34,374,3060,34.0,26,15,41,21,5,5,61,0,30.0,26.2,18.8,44.9,413,976,0.76,0.44,1.21,0.62,1.06,0.88,0.55,1.43,0.77,1.32
Hertha BSC,36,26.7,43.7,34,374,3060,34.0,35,23,58,32,3,3,62,2,33.3,30.9,25.0,55.9,462,975,1.03,0.68,1.71,0.94,1.62,0.98,0.73,1.71,0.91,1.64
Hoffenheim,32,26.1,53.2,34,374,3060,34.0,55,42,97,55,0,0,75,0,58.3,58.3,46.8,105.1,588,1474,1.62,1.24,2.85,1.62,2.85,1.71,1.38,3.09,1.71,3.09
Köln,26,27.0,54.8,34,374,3060,34.0,52,40,92,51,1,1,67,1,50.1,49.3,38.6,87.9,550,1406,1.53,1.18,2.71,1.50,2.68,1.47,1.14,2.61,1.45,2.59
Leverkusen,29,24.4,53.7,34,374,3060,34.0,76,58,134,74,2,6,66,2,62.6,57.8,46.2,104.0,709,1341,2.24,1.71,3.94,2.18,3.88,1.84,1.36,3.20,1.70,3.06
M'Gladbach,26,26.0,54.0,34,374,3060,34.0,54,38,92,49,5,7,67,1,56.2,50.6,37.8,88.4,527,1291,1.59,1.12,2.71,1.44,2.56,1.65,1.11,2.76,1.49,2.60
Mainz 05,28,26.2,46.5,34,374,3060,34.0,49,36,85,45,4,4,62,4,50.4,47.2,36.4,83.6,445,1178,1.44,1.06,2.50,1.32,2.38,1.48,1.07,2.55,1.39,2.46
RB Leipzig,29,25.3,56.1,34,374,3060,34.0,72,53,125,64,8,9,49,0,64.5,58.4,49.2,107.6,542,1467,2.12,1.56,3.68,1.88,3.44,1.90,1.45,3.34,1.72,3.16
Stuttgart,34,24.0,50.7,34,374,3060,34.0,40,31,71,39,1,3,64,2,43.7,41.4,33.1,74.5,571,1269,1.18,0.91,2.09,1.15,2.06,1.29,0.97,2.26,1.22,2.19
Union Berlin,28,28.3,43.7,34,374,3060,34.0,50,33,83,45,5,5,62,1,47.0,43.3,31.5,74.8,429,1123,1.47,0.97,2.44,1.32,2.29,1.38,0.93,2.31,1.27,2.20
Wolfsburg,30,26.0,50.5,34,374,3060,34.0,42,25,67,39,3,4,61,3,47.7,44.9,33.8,78.7,502,1220,1.24,0.74,1.97,1.15,1.88,1.40,1.00,2.40,1.32,2.31
