Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
1,Sat,2020-09-12,18:45,Heerenveen,1.8,2–0,0.5,Willem II,4,000,Abe Lenstra Stadion,Richard Martens,Match Report,
1,Sat,2020-09-12,20:00,Zwolle,0.8,0–2,2.5,Feyenoord,2,993,MAC³PARK Stadion,Bas Nijhuis,Match Report,
1,Sat,2020-09-12,21:00,Twente,2.1,2–0,0.1,Fortuna Sittard,8,000,De Grolsch Veste,Allard Lindhout,Match Report,
1,Sun,2020-09-13,12:15,Emmen,1.6,3–5,3.7,VVV-Venlo,2,400,De Oude Meerdijk,Siemen Mulder,Match Report,
1,Sun,2020-09-13,14:30,Heracles Almelo,3.1,2–0,0.3,ADO Den Haag,2,700,Erve Asito,Sander Van der Eijk,Match Report,
1,Sun,2020-09-13,14:30,Sparta R'dam,0.6,0–1,0.9,Ajax,3,934,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,
1,Sun,2020-09-13,16:45,RKC Waalwijk,0.2,0–1,1.8,Vitesse,1,967,Mandemakers Stadion,Edwin van de Graaf,Match Report,
1,Sun,2020-09-13,16:45,Groningen,1.1,1–3,2.5,PSV Eindhoven,6,049,Hitachi Capital Mobility Stadion,Serdar Gözübüyük,Match Report,
2,Fri,2020-09-18,20:00,VVV-Venlo,1.7,1–1,2.5,Utrecht,1,435,Seacon Stadion De Koel,Rob Dieperink,Match Report,
2,Sat,2020-09-19,16:30,AZ Alkmaar,0.7,1–1,1.0,Zwolle,5,000,AFAS Stadion,Serdar Gözübüyük,Match Report,
2,Sat,2020-09-19,18:45,Vitesse,2.6,2–0,0.4,Sparta R'dam,4,914,GelreDome,Björn Kuipers,Match Report,
2,Sat,2020-09-19,20:00,PSV Eindhoven,1.6,2–1,0.3,Emmen,8,000,Philips Stadion,Martin van den Kerkhof,Match Report,
2,Sat,2020-09-19,21:00,Fortuna Sittard,1.6,1–3,2.5,Heerenveen,2,500,Fortuna Sittard Stadion,Martin Perez,Match Report,
2,Sun,2020-09-20,12:15,ADO Den Haag,0.4,0–1,1.4,Groningen,3,378,Cars Jeans Stadion,Danny Makkelie,Match Report,
2,Sun,2020-09-20,14:30,Feyenoord,3.3,1–1,0.5,Twente,13,000,Stadion Feijenoord,Pol van Boekel,Match Report,
2,Sun,2020-09-20,14:30,Willem II,2.4,4–0,0.4,Heracles Almelo,3,908,Koning Willem II Stadion,Jeroen Manschot,Match Report,
2,Sun,2020-09-20,16:45,Ajax,3.4,3–0,0.3,RKC Waalwijk,11,948,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
3,Fri,2020-09-25,20:00,Twente,1.3,3–1,1.2,Groningen,8,000,De Grolsch Veste,Sander Van der Eijk,Match Report,
3,Sat,2020-09-26,16:30,Zwolle,2.3,4–0,0.9,Sparta R'dam,2,933,MAC³PARK Stadion,Allard Lindhout,Match Report,
3,Sat,2020-09-26,18:45,Fortuna Sittard,1.3,3–3,2.0,AZ Alkmaar,3,000,Fortuna Sittard Stadion,Björn Kuipers,Match Report,
3,Sat,2020-09-26,20:00,Heerenveen,1.7,1–0,0.5,VVV-Venlo,6,500,Abe Lenstra Stadion,Kevin Blom,Match Report,
3,Sat,2020-09-26,21:00,Ajax,2.2,2–1,1.8,Vitesse,12,176,Johan Cruyff ArenA,Pol van Boekel,Match Report,
3,Sun,2020-09-27,12:15,Feyenoord,2.8,4–2,1.8,ADO Den Haag,13,000,Stadion Feijenoord,Dennis Higler,Match Report,
3,Sun,2020-09-27,14:30,Utrecht,2.4,3–1,0.6,RKC Waalwijk,4,944,Stadion Galgenwaard,Siemen Mulder,Match Report,
3,Sun,2020-09-27,16:45,Emmen,1.3,1–1,1.4,Willem II,2,312,De Oude Meerdijk,Edwin van de Graaf,Match Report,
3,Sun,2020-09-27,16:45,Heracles Almelo,1.4,1–1,1.5,PSV Eindhoven,3,083,Erve Asito,Jochem Kamphuis,Match Report,
4,Fri,2020-10-02,20:00,Utrecht,3.4,1–1,0.7,Heerenveen,,Stadion Galgenwaard,Pol van Boekel,Match Report,
4,Sat,2020-10-03,16:30,Vitesse,1.7,3–0,0.6,Heracles Almelo,,GelreDome,Martin van den Kerkhof,Match Report,
4,Sat,2020-10-03,20:00,VVV-Venlo,0.6,1–2,1.7,ADO Den Haag,,Seacon Stadion De Koel,Bas Nijhuis,Match Report,
4,Sat,2020-10-03,21:00,Twente,1.8,1–1,1.1,Emmen,,De Grolsch Veste,Siemen Mulder,Match Report,
4,Sun,2020-10-04,12:15,Groningen,1.1,1–0,1.9,Ajax,,Hitachi Capital Mobility Stadion,Dennis Higler,Match Report,
4,Sun,2020-10-04,14:30,Sparta R'dam,1.8,4–4,3.4,AZ Alkmaar,,Sparta-Stadion Het Kasteel,Danny Makkelie,Match Report,
4,Sun,2020-10-04,14:30,Willem II,0.7,1–4,2.4,Feyenoord,,Koning Willem II Stadion,Allard Lindhout,Match Report,
4,Sun,2020-10-04,16:45,PSV Eindhoven,1.8,2–0,1.0,Fortuna Sittard,,Philips Stadion,Jeroen Manschot,Match Report,
5,Sat,2020-10-17,18:45,Heracles Almelo,1.8,0–1,0.3,RKC Waalwijk,,Erve Asito,Jannick van der Laan,Match Report,
5,Sat,2020-10-17,20:00,AZ Alkmaar,1.5,2–2,1.6,VVV-Venlo,,AFAS Stadion,Christiaan Bax,Match Report,
5,Sat,2020-10-17,21:00,Willem II,1.8,0–3,3.1,Twente,,Koning Willem II Stadion,Dennis Higler,Match Report,
5,Sun,2020-10-18,12:15,Feyenoord,1.2,1–1,2.1,Sparta R'dam,,Stadion Feijenoord,Kevin Blom,Match Report,
5,Sun,2020-10-18,14:30,Ajax,2.9,5–1,1.0,Heerenveen,,Johan Cruyff ArenA,Björn Kuipers,Match Report,
5,Sun,2020-10-18,14:30,ADO Den Haag,1.2,0–2,1.4,Vitesse,,Cars Jeans Stadion,Richard Martens,Match Report,
5,Sun,2020-10-18,16:45,Zwolle,2.1,0–3,2.4,PSV Eindhoven,,MAC³PARK Stadion,Danny Makkelie,Match Report,
5,Sun,2020-10-18,16:45,Groningen,1.0,0–0,1.6,Utrecht,,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,
5,Sun,2020-10-18,20:00,Emmen,1.5,2–2,1.4,Fortuna Sittard,,De Oude Meerdijk,Serdar Gözübüyük,Match Report,
4,Wed,2020-10-21,17:30,RKC Waalwijk,1.0,1–1,2.6,Zwolle,,Mandemakers Stadion,Rob Dieperink,Match Report,
6,Sat,2020-10-24,16:30,VVV-Venlo,0.3,0–9,9.1,Ajax,,Seacon Stadion De Koel,Danny Makkelie,Match Report,
6,Sat,2020-10-24,18:45,Utrecht,1.3,2–1,1.2,Twente,,Stadion Galgenwaard,Kevin Blom,Match Report,
6,Sat,2020-10-24,20:00,Zwolle,0.9,0–0,1.0,Willem II,,MAC³PARK Stadion,Martin Perez,Match Report,
6,Sat,2020-10-24,21:00,Heerenveen,2.2,4–0,0.5,Emmen,,Abe Lenstra Stadion,Sander Van der Eijk,Match Report,
6,Sun,2020-10-25,12:15,Fortuna Sittard,1.4,1–3,2.6,Groningen,,Fortuna Sittard Stadion,Pol van Boekel,Match Report,
6,Sun,2020-10-25,14:30,Vitesse,0.8,2–1,0.7,PSV Eindhoven,,GelreDome,Bas Nijhuis,Match Report,
6,Sun,2020-10-25,14:30,Sparta R'dam,0.7,1–1,1.5,Heracles Almelo,,Sparta-Stadion Het Kasteel,Serdar Gözübüyük,Match Report,
6,Sun,2020-10-25,16:45,RKC Waalwijk,0.5,2–2,1.5,Feyenoord,,Mandemakers Stadion,Jochem Kamphuis,Match Report,
6,Sun,2020-10-25,20:00,ADO Den Haag,0.6,2–2,2.3,AZ Alkmaar,,Cars Jeans Stadion,Allard Lindhout,Match Report,
