Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ADO Den Haag,37,34.0,59,2,1,349,334,33,510,420,320,4,7,1,1823,499,521,48.9
Ajax,30,34.0,35,4,0,377,322,62,789,408,327,5,2,0,2125,505,439,53.5
AZ Alkmaar,25,34.0,38,7,3,325,378,50,561,405,276,10,4,2,1957,376,376,50.0
Emmen,32,34.0,50,5,1,369,337,55,573,375,319,8,4,1,1926,535,538,49.9
Feyenoord,30,34.0,42,4,2,371,381,54,655,410,346,9,9,3,1964,472,323,59.4
Fortuna Sittard,30,34.0,45,2,0,412,330,42,487,459,334,3,10,2,1948,611,625,49.4
Groningen,29,34.0,49,3,1,386,363,45,604,457,326,0,6,1,1877,572,588,49.3
Heerenveen,24,34.0,41,5,1,346,290,58,530,457,337,3,8,1,1933,552,475,53.7
Heracles Almelo,28,34.0,48,2,1,350,377,62,538,467,426,4,6,2,2075,417,468,47.1
PSV Eindhoven,36,34.0,40,0,0,342,329,62,563,461,327,7,6,1,2228,553,421,56.8
RKC Waalwijk,27,34.0,34,2,0,378,349,56,614,465,294,1,6,0,1988,441,572,43.5
Sparta R'dam,23,34.0,43,4,1,381,301,57,512,442,361,4,5,0,1959,697,722,49.1
Twente,28,34.0,47,3,0,396,276,47,521,437,370,3,10,3,2047,498,671,42.6
Utrecht,31,34.0,42,1,1,364,350,63,687,435,366,5,5,1,2098,571,491,53.8
Vitesse,26,34.0,60,5,2,403,464,48,614,399,351,3,4,0,1956,527,509,50.9
VVV-Venlo,29,34.0,47,5,1,412,351,67,564,424,317,6,11,1,1805,595,573,50.9
Willem II,30,34.0,47,4,2,339,360,60,562,449,363,2,9,2,1940,558,598,48.3
Zwolle,27,34.0,40,5,1,377,347,63,565,429,354,5,3,1,1966,428,497,46.3
