Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ajax,30,26.2,66.0,34,374,3060,34.0,94,71,165,88,6,9,35,1,94.3,87.4,70.2,157.6,811,2602,2.76,2.09,4.85,2.59,4.68,2.77,2.07,4.84,2.57,4.64
AZ Alkmaar,28,24.4,55.8,34,374,3060,34.0,62,49,111,56,6,7,52,1,57.7,52.2,41.7,93.9,600,1674,1.82,1.44,3.26,1.65,3.09,1.70,1.23,2.92,1.54,2.76
Cambuur,27,26.1,48.3,34,374,3060,34.0,51,38,89,47,4,5,54,3,40.8,36.9,30.3,67.2,508,984,1.50,1.12,2.62,1.38,2.50,1.20,0.89,2.09,1.08,1.98
Feyenoord,31,24.9,58.5,34,374,3060,34.0,75,57,132,72,3,4,41,0,72.4,69.3,54.1,123.4,837,1830,2.21,1.68,3.88,2.12,3.79,2.13,1.59,3.72,2.04,3.63
Fortuna Sittard,29,26.3,43.4,34,374,3060,34.0,35,24,59,32,3,3,62,1,35.5,33.1,26.0,59.1,399,889,1.03,0.71,1.74,0.94,1.65,1.04,0.76,1.81,0.97,1.74
Go Ahead Eag,26,24.8,47.2,34,374,3060,34.0,36,27,63,34,2,2,39,5,36.4,34.9,26.5,61.3,449,1124,1.06,0.79,1.85,1.00,1.79,1.07,0.78,1.85,1.03,1.80
Groningen,28,24.4,48.9,34,374,3060,34.0,39,27,66,38,1,1,55,4,39.1,38.3,26.1,64.4,526,1014,1.15,0.79,1.94,1.12,1.91,1.15,0.77,1.92,1.13,1.89
Heerenveen,32,24.9,47.6,34,374,3060,34.0,34,26,60,31,3,3,42,2,44.7,42.1,33.8,75.9,558,1131,1.00,0.76,1.76,0.91,1.68,1.31,0.99,2.31,1.24,2.23
Heracles Almelo,31,23.9,46.8,34,374,3060,34.0,32,18,50,31,1,2,55,3,41.5,40.0,29.8,69.8,657,1178,0.94,0.53,1.47,0.91,1.44,1.22,0.88,2.10,1.18,2.05
NEC Nijmegen,25,24.5,47.3,34,374,3060,34.0,38,19,57,36,2,3,50,3,43.8,41.5,28.7,70.2,559,1044,1.12,0.56,1.68,1.06,1.62,1.29,0.84,2.13,1.22,2.06
PSV Eindhoven,30,25.3,57.7,34,374,3060,34.0,84,66,150,83,1,1,42,0,74.8,74.0,58.4,132.4,780,1801,2.47,1.94,4.41,2.44,4.38,2.20,1.72,3.92,2.18,3.90
RKC Waalwijk,26,25.9,43.5,34,374,3060,34.0,39,31,70,38,1,2,54,1,38.3,36.8,29.7,66.4,416,1117,1.15,0.91,2.06,1.12,2.03,1.13,0.87,2.00,1.08,1.95
Sparta R'dam,32,27.1,42.0,34,374,3060,34.0,30,22,52,29,1,2,58,3,33.3,31.7,22.5,54.2,318,1007,0.88,0.65,1.53,0.85,1.50,0.98,0.66,1.64,0.93,1.59
Twente,28,25.0,51.2,34,374,3060,34.0,53,33,86,48,5,6,54,3,53.7,49.4,37.2,86.6,512,1273,1.56,0.97,2.53,1.41,2.38,1.58,1.09,2.68,1.45,2.55
Utrecht,36,25.6,48.4,34,374,3060,34.0,49,34,83,44,5,6,53,0,61.6,57.0,44.2,101.2,525,1432,1.44,1.00,2.44,1.29,2.29,1.81,1.30,3.11,1.68,2.98
Vitesse,29,23.9,52.1,34,374,3060,34.0,42,27,69,39,3,4,69,6,48.8,46.2,32.4,78.5,529,1257,1.24,0.79,2.03,1.15,1.94,1.44,0.95,2.39,1.36,2.31
Willem II,33,24.7,45.1,34,374,3060,34.0,30,23,53,30,0,0,42,6,35.3,35.3,25.0,60.3,571,1101,0.88,0.68,1.56,0.88,1.56,1.04,0.74,1.77,1.04,1.77
Zwolle,32,25.2,50.3,34,374,3060,34.0,26,21,47,23,3,4,50,2,39.9,36.8,29.8,66.6,622,1288,0.76,0.62,1.38,0.68,1.29,1.17,0.88,2.05,1.08,1.96
