Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
1,Fri,2022-08-05,20:00,Heerenveen,0.4,0–0,0.3,Sparta R'dam,18,000,Abe Lenstra Stadion,Pol van Boekel,Match Report,
1,Sat,2022-08-06,16:30,Fortuna Sittard,1.0,2–3,1.9,Ajax,11,863,Fortuna Sittard Stadion,Serdar Gözübüyük,Match Report,
1,Sat,2022-08-06,18:45,Cambuur,4.0,0–2,1.3,Excelsior,9,671,Cambuurstadion,Edwin van de Graaf,Match Report,
1,Sat,2022-08-06,20:00,PSV Eindhoven,1.7,4–1,0.6,Emmen,30,000,Philips Stadion,Martin van den Kerkhof,Match Report,
1,Sat,2022-08-06,21:00,RKC Waalwijk,1.8,2–2,2.1,Utrecht,4,526,Mandemakers Stadion,Rob Dieperink,Match Report,
1,Sun,2022-08-07,12:15,Groningen,1.8,2–2,1.4,Volendam,18,648,Hitachi Capital Mobility Stadion,Joey Kooij,Match Report,
1,Sun,2022-08-07,14:30,Vitesse,0.6,2–5,2.5,Feyenoord,14,416,GelreDome,Jochem Kamphuis,Match Report,
1,Sun,2022-08-07,14:30,NEC Nijmegen,1.0,0–1,0.9,Twente,12,256,Goffertstadion,Danny Makkelie,Match Report,
1,Sun,2022-08-07,16:45,AZ Alkmaar,2.4,2–0,0.8,Go Ahead Eag,14,438,AFAS Stadion,Allard Lindhout,Match Report,
2,Fri,2022-08-12,20:00,Excelsior,1.5,3–1,2.0,Vitesse,4,234,Van Donge & De Roo Stadion,Alex Bos,Match Report,
2,Sat,2022-08-13,18:45,Go Ahead Eag,0.9,2–5,3.0,PSV Eindhoven,9,643,De Adelaarshorst,Danny Makkelie,Match Report,
2,Sat,2022-08-13,20:00,Emmen,1.4,1–1,0.7,RKC Waalwijk,7,829,De Oude Meerdijk,Dennis Higler,Match Report,
2,Sat,2022-08-13,20:00,Utrecht,1.5,0–0,0.8,Cambuur,21,019,Stadion Galgenwaard,Erwin Blank,Match Report,
2,Sat,2022-08-13,21:00,Feyenoord,1.8,0–0,0.8,Heerenveen,47,500,Stadion Feijenoord,Serdar Gözübüyük,Match Report,
2,Sun,2022-08-14,12:15,Volendam,1.2,1–4,1.7,NEC Nijmegen,6,375,Kras Stadion,Ingmar Oostrom,Match Report,
2,Sun,2022-08-14,14:30,Twente,1.7,3–0,0.7,Fortuna Sittard,27,000,De Grolsch Veste,Martin van den Kerkhof,Match Report,
2,Sun,2022-08-14,14:30,Ajax,3.4,6–1,0.5,Groningen,54,060,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
2,Sun,2022-08-14,16:45,Sparta R'dam,0.9,2–3,2.8,AZ Alkmaar,9,631,Sparta-Stadion Het Kasteel,Jannick van der Laan,Match Report,
3,Sat,2022-08-20,16:30,Vitesse,0.7,0–4,1.6,Heerenveen,10,899,GelreDome,Joey Kooij,Match Report,
3,Sat,2022-08-20,18:45,Fortuna Sittard,1.2,1–4,0.9,Cambuur,8,357,Fortuna Sittard Stadion,Bas Nijhuis,Match Report,
3,Sat,2022-08-20,21:00,Emmen,1.1,3–2,1.3,Utrecht,8,024,De Oude Meerdijk,Jochem Kamphuis,Match Report,
3,Sun,2022-08-21,12:15,Groningen,0.5,1–0,0.4,Go Ahead Eag,18,575,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,
