Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ajax,30,34.0,569,348,244,219,106,268,465,57.6,197,314,68,246,259,828,393,9
AZ Alkmaar,29,34.0,543,320,244,227,72,252,509,49.5,257,352,120,232,315,858,590,5
Cambuur,31,34.0,599,353,313,224,62,302,618,48.9,316,375,134,241,293,892,755,10
Emmen,30,34.0,595,362,298,221,76,305,606,50.3,301,404,141,263,311,906,756,4
Excelsior,28,34.0,615,384,344,202,69,300,628,47.8,328,414,127,287,370,985,884,9
Feyenoord,30,34.0,597,340,231,267,99,278,517,53.8,239,331,71,260,289,886,500,6
Fortuna Sittard,28,34.0,571,355,332,189,50,258,572,45.1,314,454,160,294,370,941,841,8
Go Ahead Eag,27,34.0,549,331,253,220,76,235,482,48.8,247,428,130,298,332,881,747,8
Groningen,36,34.0,631,384,304,250,77,269,589,45.7,320,437,144,293,312,943,712,9
Heerenveen,26,34.0,527,317,282,179,66,271,511,53.0,240,330,108,222,362,889,680,5
NEC Nijmegen,22,34.0,517,290,267,188,62,238,471,50.5,233,381,139,242,256,773,620,9
PSV Eindhoven,32,34.0,601,354,286,242,73,279,563,49.6,284,381,91,290,304,905,549,11
RKC Waalwijk,27,34.0,574,333,322,176,76,294,598,49.2,304,422,133,289,312,886,713,12
Sparta R'dam,30,34.0,526,290,274,200,52,263,572,46.0,309,379,145,234,315,841,713,11
Twente,26,34.0,617,373,288,237,92,309,641,48.2,332,385,95,290,318,935,493,8
Utrecht,33,34.0,583,350,285,233,65,282,602,46.8,320,360,97,263,340,923,705,6
Vitesse,30,34.0,524,321,236,208,80,246,550,44.7,304,349,103,246,315,839,686,14
Volendam,31,34.0,647,381,358,226,63,300,645,46.5,345,420,129,291,336,983,806,13
