Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ajax,30,34.0,86,625,220,35.2,18.38,6.47,0.13,0.37,15.8,12,5,5,78.8,74.8,0.12,+7.2,+6.2
AZ Alkmaar,29,34.0,65,508,195,38.4,14.94,5.74,0.12,0.32,17.8,15,2,3,55.4,53.1,0.11,+9.6,+9.9
Cambuur,31,34.0,25,383,124,32.4,11.26,3.65,0.06,0.19,18.4,13,1,2,41.2,39.6,0.10,-16.2,-15.6
Emmen,30,34.0,31,374,128,34.2,11.00,3.76,0.08,0.23,18.6,16,1,1,36.7,35.9,0.10,-5.7,-5.9
Excelsior,28,34.0,30,343,104,30.3,10.09,3.06,0.09,0.29,16.6,10,0,2,35.1,33.6,0.10,-5.1,-3.6
Feyenoord,30,34.0,77,677,247,36.5,19.91,7.26,0.11,0.30,17.9,31,3,3,65.6,63.2,0.10,+11.4,+10.8
Fortuna Sittard,28,34.0,39,382,116,30.4,11.24,3.41,0.08,0.28,18.2,17,7,7,36.3,31.1,0.08,+2.7,+0.9
Go Ahead Eag,27,34.0,45,426,133,31.2,12.53,3.91,0.10,0.32,16.6,10,2,4,45.0,41.9,0.10,0.0,+1.1
Groningen,36,34.0,30,377,101,26.8,11.09,2.97,0.08,0.29,19.6,22,1,1,31.8,31.0,0.08,-1.8,-2.0
Heerenveen,26,34.0,43,445,149,33.5,13.09,4.38,0.09,0.28,18.0,22,1,3,44.1,41.7,0.10,-1.1,+0.3
NEC Nijmegen,22,34.0,42,461,150,32.5,13.56,4.41,0.08,0.25,18.2,30,4,5,48.2,44.3,0.10,-6.2,-6.3
PSV Eindhoven,32,34.0,87,612,235,38.4,18.00,6.91,0.13,0.34,16.1,11,6,7,81.5,76.0,0.13,+5.5,+5.0
RKC Waalwijk,27,34.0,49,372,131,35.2,10.94,3.85,0.12,0.34,17.8,11,4,4,45.5,42.5,0.12,+3.5,+2.5
Sparta R'dam,30,34.0,59,423,150,35.5,12.44,4.41,0.13,0.37,18.1,16,4,5,41.5,37.7,0.09,+17.5,+17.3
Twente,26,34.0,65,604,192,31.8,17.76,5.65,0.10,0.32,18.3,18,3,3,62.8,60.7,0.10,+2.2,+1.3
Utrecht,33,34.0,54,433,163,37.6,12.74,4.79,0.12,0.31,16.2,6,3,4,49.3,46.2,0.11,+4.7,+4.8
Vitesse,30,34.0,43,528,170,32.2,15.53,5.00,0.08,0.25,18.7,27,1,1,43.8,43.2,0.08,-0.8,-1.2
Volendam,31,34.0,41,415,144,34.7,12.21,4.24,0.10,0.28,17.0,6,0,0,42.5,42.5,0.10,-1.5,-1.5
