
Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
1,Fri,2021-08-13,21:00,Valencia,1.5,1–0,1.4,Getafe,9,868,Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,2021-08-14,19:30,Mallorca,0.5,1–1,0.6,Betis,6,279,Iberostar Estadi,Antonio Matéu Lahoz,Match Report,
1,Sat,2021-08-14,19:30,Cádiz,0.6,1–1,0.9,Levante,6,941,Estadio Nuevo Mirandilla,Santiago Jaime,Match Report,
1,Sat,2021-08-14,22:00,Alavés,1.7,1–4,1.7,Real Madrid,3,968,Estadio de Mendizorroza,César Soto,Match Report,
1,Sat,2021-08-14,22:00,Osasuna,0.9,0–0,0.5,Espanyol,6,715,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
1,Sun,2021-08-15,17:30,Celta Vigo,2.3,1–2,1.5,Atlético Madrid,5,401,Estadio de Balaídos,José Luis Munuera,Match Report,
1,Sun,2021-08-15,20:00,Barcelona,2.8,4–2,0.8,Real Sociedad,20,384,Camp Nou,Alejandro Hernández,Match Report,
1,Sun,2021-08-15,22:15,Sevilla,3.7,3–0,0.4,Rayo Vallecano,13,962,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Match Report,
1,Mon,2021-08-16,20:00,Villarreal,1.1,0–0,0.3,Granada,7,837,Estadio de la Cerámica,Pablo González,Match Report,
1,Mon,2021-08-16,22:00,Elche,1.1,0–0,0.6,Athletic Club,9,145,Estadio Manuel Martínez Valero,Adrián Cordero,Match Report,
2,Fri,2021-08-20,21:00,Betis,1.1,1–1,1.6,Cádiz,23,745,Estadio Benito Villamarín,Valentín Pizarro,Match Report,
2,Sat,2021-08-21,17:00,Alavés,0.5,0–1,0.7,Mallorca,2,896,Estadio de Mendizorroza,Alejandro Muñíz,Match Report,
2,Sat,2021-08-21,19:30,Espanyol,1.3,0–0,0.6,Villarreal,11,095,RCDE Stadium,Jorge Figueroa,Match Report,
2,Sat,2021-08-21,19:30,Granada,1.1,1–1,1.5,Valencia,6,267,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
2,Sat,2021-08-21,22:00,Athletic Club,1.4,1–1,1.0,Barcelona,9,394,San Mamés,Juan Martínez,Match Report,
