Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,33,38.0,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8
Athletic Club,26,38.0,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44.0,0.10,-9.6,-7.0
Atlético Madrid,26,38.0,63,458,152,33.2,12.05,4.00,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,+8.6,+8.4
Barcelona,38,38.0,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,+4.6,+4.1
Betis,31,38.0,60,509,182,35.8,13.39,4.79,0.11,0.30,18.4,21,6,6,53.5,48.8,0.10,+6.5,+5.2
Cádiz,33,38.0,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8
Celta Vigo,25,38.0,43,405,135,33.3,10.66,3.55,0.10,0.30,18.3,14,3,6,43.1,38.3,0.10,-0.1,+1.7
Elche,28,38.0,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,1,1,33.7,32.9,0.10,+5.3,+5.1
Espanyol,34,38.0,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,+2.3,+1.1
Getafe,31,38.0,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,+1.7,+2.7
Granada,32,38.0,43,421,131,31.1,11.08,3.45,0.10,0.31,19.2,12,3,5,39.0,35.1,0.09,+4.0,+4.9
Levante,31,38.0,51,430,146,34.0,11.32,3.84,0.10,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1
Mallorca,33,38.0,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3
Osasuna,29,38.0,37,425,114,26.8,11.18,3.00,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,+0.3,+0.3
Rayo Vallecano,28,38.0,38,500,133,26.6,13.16,3.50,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7
Real Madrid,31,38.0,80,645,243,37.7,16.97,6.39,0.11,0.30,18.8,21,8,12,71.7,62.2,0.10,+8.3,+9.8
Real Sociedad,32,38.0,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,51.5,43.8,0.10,-11.5,-12.8
Sevilla,33,38.0,51,430,139,32.3,11.32,3.66,0.11,0.35,17.0,10,2,3,42.4,40.0,0.09,+8.6,+9.0
Valencia,34,38.0,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,39.0,32.2,0.08,+6.0,+4.8
Villarreal,29,38.0,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,64.2,60.0,0.14,-2.2,-3.0
