Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
1,Fri,2022-08-12,21:00,Osasuna,1.5,2–1,0.9,Sevilla,18,536,Estadio El Sadar,Carlos del Cerro,Match Report,
1,Sat,2022-08-13,17:00,Celta Vigo,0.4,2–2,1.1,Espanyol,13,859,Estadio de Balaídos,Miguel Ángel Ortiz Arias,Match Report,
1,Sat,2022-08-13,19:00,Valladolid,1.0,0–3,1.5,Villarreal,17,543,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
1,Sat,2022-08-13,21:00,Barcelona,1.9,0–0,0.5,Rayo Vallecano,81,104,Camp Nou,Alejandro Hernández,Match Report,
1,Sun,2022-08-14,17:30,Cádiz,0.2,0–1,1.5,Real Sociedad,16,570,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,Match Report,
1,Sun,2022-08-14,19:30,Valencia,1.6,1–0,0.1,Girona,39,359,Estadio de Mestalla,Jorge Figueroa,Match Report,
1,Sun,2022-08-14,22:00,Almería,0.7,1–2,2.1,Real Madrid,14,386,Power Horse Stadium,Juan Martínez,Match Report,
1,Mon,2022-08-15,17:30,Athletic Club,1.6,0–0,0.4,Mallorca,39,747,San Mamés,Javier Villanueva,Match Report,
1,Mon,2022-08-15,19:30,Getafe,0.7,0–3,1.2,Atlético Madrid,12,235,Coliseum Alfonso Pérez,José Sánchez,Match Report,
1,Mon,2022-08-15,21:30,Betis,3.1,3–0,0.4,Elche,50,622,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
2,Fri,2022-08-19,20:00,Espanyol,0.8,0–2,1.4,Rayo Vallecano,16,071,RCDE Stadium,Jorge Figueroa,Match Report,
2,Fri,2022-08-19,22:00,Sevilla,2.0,1–1,0.5,Valladolid,33,991,Estadio Ramón Sánchez Pizjuán,Juan Pulido,Match Report,
2,Sat,2022-08-20,17:30,Osasuna,2.7,2–0,1.0,Cádiz,18,587,Estadio El Sadar,Antonio Matéu Lahoz,Match Report,
2,Sat,2022-08-20,19:30,Mallorca,0.6,1–2,2.1,Betis,15,579,Iberostar Estadi,Pablo González,Match Report,
2,Sat,2022-08-20,22:00,Celta Vigo,1.4,1–4,3.7,Real Madrid,15,681,Estadio de Balaídos,Jesús Gil,Match Report,
2,Sun,2022-08-21,17:30,Athletic Club,1.0,1–0,0.7,Valencia,43,333,San Mamés,César Soto,Match Report,
2,Sun,2022-08-21,19:30,Atlético Madrid,1.6,0–2,1.8,Villarreal,57,033,Estadio Cívitas Metropolitano,Ricardo de Burgos,Match Report,
2,Sun,2022-08-21,22:00,Real Sociedad,0.8,1–4,2.1,Barcelona,36,201,Reale Arena,José Luis Munuera,Match Report,
2,Mon,2022-08-22,20:00,Elche,1.0,1–1,0.7,Almería,23,361,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
2,Mon,2022-08-22,22:00,Girona,1.1,3–1,0.6,Getafe,10,460,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
3,Fri,2022-08-26,20:00,Girona,1.0,0–1,1.0,Celta Vigo,11,329,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
3,Fri,2022-08-26,22:00,Betis,0.5,1–0,1.3,Osasuna,52,580,Estadio Benito Villamarín,Juan Martínez,Match Report,
3,Sat,2022-08-27,17:30,Elche,0.7,0–1,1.8,Real Sociedad,22,656,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
3,Sat,2022-08-27,19:30,Rayo Vallecano,0.7,0–2,0.8,Mallorca,10,944,Estadio del Rayo Vallecano,José Sánchez,Match Report,
3,Sat,2022-08-27,22:00,Almería,2.3,2–1,1.0,Sevilla,13,788,Power Horse Stadium,Jesús Gil,Match Report,
3,Sun,2022-08-28,17:30,Getafe,0.3,0–0,1.1,Villarreal,9,815,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
3,Sun,2022-08-28,19:30,Barcelona,2.6,4–0,0.8,Valladolid,83,972,Camp Nou,Ricardo de Burgos,Match Report,
3,Sun,2022-08-28,22:00,Espanyol,1.3,1–3,2.1,Real Madrid,25,778,RCDE Stadium,Mario Melero,Match Report,
3,Mon,2022-08-29,20:00,Cádiz,0.4,0–4,2.4,Athletic Club,17,029,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,Match Report,
3,Mon,2022-08-29,22:00,Valencia,0.5,0–1,1.5,Atlético Madrid,43,910,Estadio de Mestalla,Guillermo Cuadra,Match Report,
4,Fri,2022-09-02,21:00,Celta Vigo,0.7,3–0,0.3,Cádiz,14,510,Estadio de Balaídos,Juan Pulido,Match Report,
4,Sat,2022-09-03,14:00,Mallorca,0.7,1–1,1.2,Girona,13,390,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
4,Sat,2022-09-03,16:15,Real Madrid,2.9,2–1,0.5,Betis,58,579,Estadio Santiago Bernabéu,José Sánchez,Match Report,
4,Sat,2022-09-03,18:30,Real Sociedad,1.5,1–1,1.4,Atlético Madrid,35,366,Reale Arena,César Soto,Match Report,
4,Sat,2022-09-03,21:00,Sevilla,1.0,0–3,4.0,Barcelona,40,233,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
4,Sun,2022-09-04,14:00,Osasuna,2.0,2–1,0.2,Rayo Vallecano,18,745,Estadio El Sadar,Alejandro Muñíz,Match Report,
4,Sun,2022-09-04,16:15,Athletic Club,1.2,0–1,0.6,Espanyol,41,574,San Mamés,Juan Martínez,Match Report,
4,Sun,2022-09-04,18:30,Villarreal,3.4,4–0,0.6,Elche,13,915,Estadio Ciudad de Valencia,Miguel Ángel Ortiz Arias,Match Report,
4,Sun,2022-09-04,21:00,Valencia,2.3,5–1,0.2,Getafe,38,725,Estadio de Mestalla,José Luis Munuera,Match Report,
4,Mon,2022-09-05,21:00,Valladolid,1.2,1–0,0.5,Almería,20,260,Estadio Municipal José Zorrilla,Pablo González,Match Report,
5,Fri,2022-09-09,21:00,Girona,1.7,2–1,0.6,Valladolid,10,053,Estadi Municipal de Montilivi,César Soto,Match Report,
5,Sat,2022-09-10,14:00,Rayo Vallecano,1.7,2–1,1.7,Valencia,12,085,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
5,Sat,2022-09-10,16:15,Espanyol,2.5,2–3,2.0,Sevilla,20,135,RCDE Stadium,Guillermo Cuadra,Match Report,
5,Sat,2022-09-10,18:30,Cádiz,0.4,0–4,3.4,Barcelona,19,530,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
5,Sat,2022-09-10,21:00,Atlético Madrid,0.7,4–1,1.7,Celta Vigo,52,247,Estadio Cívitas Metropolitano,Alejandro Hernández,Match Report,
5,Sun,2022-09-11,14:00,Real Madrid,2.3,4–1,0.5,Mallorca,54,816,Estadio Santiago Bernabéu,Jorge Figueroa,Match Report,
5,Sun,2022-09-11,16:15,Elche,0.9,1–4,2.7,Athletic Club,24,176,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
5,Sun,2022-09-11,18:30,Getafe,1.1,2–1,1.2,Real Sociedad,11,112,Coliseum Alfonso Pérez,Juan Pulido,Match Report,
5,Sun,2022-09-11,21:00,Betis,1.9,1–0,1.7,Villarreal,53,276,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
5,Mon,2022-09-12,21:00,Almería,0.2,0–1,2.0,Osasuna,12,397,Power Horse Stadium,Javier Villanueva,Match Report,
6,Fri,2022-09-16,21:00,Valladolid,1.5,0–1,0.3,Cádiz,20,295,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
6,Sat,2022-09-17,14:00,Mallorca,0.6,1–0,0.4,Almería,12,687,Iberostar Estadi,Juan Martínez,Match Report,
6,Sat,2022-09-17,16:15,Barcelona,3.9,3–0,0.0,Elche,85,073,Camp Nou,Alejandro Muñíz,Match Report,
6,Sat,2022-09-17,18:30,Valencia,1.7,3–0,0.5,Celta Vigo,40,965,Estadio de Mestalla,Pablo González,Match Report,
6,Sat,2022-09-17,21:00,Athletic Club,1.9,3–2,0.7,Rayo Vallecano,43,484,San Mamés,Antonio Matéu Lahoz,Match Report,
6,Sun,2022-09-18,14:00,Osasuna,0.5,0–2,0.8,Getafe,18,255,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
6,Sun,2022-09-18,16:15,Villarreal,1.5,1–1,0.6,Sevilla,18,292,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
6,Sun,2022-09-18,18:30,Betis,1.6,2–1,1.3,Girona,52,229,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
6,Sun,2022-09-18,18:30,Real Sociedad,1.9,2–1,0.8,Espanyol,31,511,Reale Arena,Carlos del Cerro,Match Report,
6,Sun,2022-09-18,21:00,Atlético Madrid,1.0,1–2,0.9,Real Madrid,66,881,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
7,Fri,2022-09-30,21:00,Athletic Club,2.1,4–0,0.7,Almería,42,110,San Mamés,Juan Pulido,Match Report,
7,Sat,2022-10-01,14:00,Cádiz,0.7,0–0,1.6,Villarreal,15,516,Estadio Nuevo Mirandilla,Javier Villanueva,Match Report,
7,Sat,2022-10-01,16:15,Getafe,2.8,2–3,1.6,Valladolid,10,958,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
7,Sat,2022-10-01,18:30,Sevilla,0.5,0–2,2.2,Atlético Madrid,37,754,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
7,Sat,2022-10-01,21:00,Mallorca,1.2,0–1,0.7,Barcelona,18,103,Iberostar Estadi,Jesús Gil,Match Report,
7,Sun,2022-10-02,14:00,Espanyol,0.8,2–2,1.1,Valencia,19,766,RCDE Stadium,Valentín Pizarro,Match Report,
7,Sun,2022-10-02,16:15,Celta Vigo,0.9,1–0,0.9,Betis,14,344,Estadio de Balaídos,César Soto,Match Report,
7,Sun,2022-10-02,18:30,Girona,1.0,3–5,2.1,Real Sociedad,12,217,Estadi Municipal de Montilivi,Mario Melero,Match Report,
7,Sun,2022-10-02,21:00,Real Madrid,2.5,1–1,0.5,Osasuna,55,410,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
7,Mon,2022-10-03,21:00,Rayo Vallecano,0.9,2–1,1.1,Elche,11,662,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
8,Fri,2022-10-07,21:00,Osasuna,1.6,1–2,2.1,Valencia,20,260,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
8,Sat,2022-10-08,14:00,Almería,1.2,3–1,0.8,Rayo Vallecano,10,783,Power Horse Stadium,Pablo González,Match Report,
8,Sat,2022-10-08,16:15,Atlético Madrid,1.9,2–1,0.8,Girona,54,069,Estadio Cívitas Metropolitano,Juan Martínez,Match Report,
8,Sat,2022-10-08,18:30,Sevilla,1.0,1–1,1.7,Athletic Club,36,502,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
8,Sat,2022-10-08,21:00,Getafe,0.3,0–1,1.4,Real Madrid,14,502,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
8,Sun,2022-10-09,14:00,Valladolid,0.6,0–0,0.5,Betis,22,561,Estadio Municipal José Zorrilla,Carlos del Cerro,Match Report,
8,Sun,2022-10-09,16:15,Cádiz,1.3,2–2,1.3,Espanyol,16,572,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
8,Sun,2022-10-09,18:30,Real Sociedad,1.2,1–0,0.2,Villarreal,32,689,Reale Arena,César Soto,Match Report,
8,Sun,2022-10-09,21:00,Barcelona,2.0,1–0,1.5,Celta Vigo,81,525,Camp Nou,José Luis Munuera,Match Report,
8,Mon,2022-10-10,21:00,Elche,0.5,1–1,2.3,Mallorca,12,000,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
9,Fri,2022-10-14,21:00,Rayo Vallecano,1.6,0–0,0.4,Getafe,13,076,Estadio del Rayo Vallecano,Mario Melero,Match Report,
9,Sat,2022-10-15,14:00,Girona,2.3,1–1,1.1,Cádiz,9,927,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
9,Sat,2022-10-15,16:15,Valencia,2.7,2–2,1.7,Elche,41,805,Estadio de Mestalla,Juan Pulido,Match Report,
9,Sat,2022-10-15,18:30,Mallorca,0.7,0–1,0.2,Sevilla,15,300,Iberostar Estadi,Javier Villanueva,Match Report,
9,Sat,2022-10-15,21:00,Athletic Club,1.2,0–1,0.3,Atlético Madrid,48,391,San Mamés,Jorge Figueroa,Match Report,
9,Sun,2022-10-16,14:00,Celta Vigo,0.5,1–2,0.8,Real Sociedad,13,101,Estadio de Balaídos,Guillermo Cuadra,Match Report,
9,Sun,2022-10-16,16:15,Real Madrid,1.1,3–1,2.0,Barcelona,62,876,Estadio Santiago Bernabéu,José Sánchez,Match Report,
9,Sun,2022-10-16,18:30,Espanyol,1.3,1–0,0.7,Valladolid,17,770,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
9,Sun,2022-10-16,21:00,Betis,2.5,3–1,0.8,Almería,46,112,Estadio Benito Villamarín,Alejandro Muñíz,Match Report,
9,Mon,2022-10-17,21:00,Villarreal,1.5,2–0,0.5,Osasuna,9,699,Estadio Ciudad de Valencia,Pablo González,Match Report,
10,Tue,2022-10-18,19:00,Sevilla,1.1,1–1,1.8,Valencia,37,353,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
10,Tue,2022-10-18,20:00,Getafe,0.8,2–2,1.0,Athletic Club,11,395,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
10,Tue,2022-10-18,21:00,Atlético Madrid,1.1,1–1,1.8,Rayo Vallecano,46,803,Estadio Cívitas Metropolitano,Javier Villanueva,Match Report,
10,Wed,2022-10-19,19:00,Cádiz,0.9,0–0,0.9,Betis,18,505,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
10,Wed,2022-10-19,19:00,Valladolid,1.5,4–1,2.6,Celta Vigo,16,547,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
10,Wed,2022-10-19,20:00,Real Sociedad,1.2,1–0,0.9,Mallorca,27,085,Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
10,Wed,2022-10-19,21:00,Elche,0.8,0–3,1.5,Real Madrid,30,236,Estadio Manuel Martínez Valero,Jesús Gil,Match Report,
10,Thu,2022-10-20,19:00,Almería,1.8,3–2,2.8,Girona,11,194,Power Horse Stadium,Guillermo Cuadra,Match Report,
10,Thu,2022-10-20,20:00,Osasuna,1.0,1–0,1.0,Espanyol,17,832,Estadio El Sadar,Mario Melero,Match Report,
10,Thu,2022-10-20,21:00,Barcelona,2.1,3–0,0.4,Villarreal,73,261,Camp Nou,Carlos del Cerro,Match Report,
11,Sat,2022-10-22,14:00,Rayo Vallecano,3.7,5–1,0.2,Cádiz,12,975,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
11,Sat,2022-10-22,16:15,Valladolid,0.8,1–0,0.9,Real Sociedad,21,175,Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
11,Sat,2022-10-22,18:30,Valencia,1.2,1–2,1.5,Mallorca,41,199,Estadio de Mestalla,José Sánchez,Match Report,
11,Sat,2022-10-22,21:00,Real Madrid,3.0,3–1,0.5,Sevilla,59,625,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
11,Sun,2022-10-23,14:00,Espanyol,2.2,2–2,0.5,Elche,17,560,RCDE Stadium,José Luis Munuera,Match Report,
11,Sun,2022-10-23,16:15,Betis,1.4,1–2,0.8,Atlético Madrid,50,179,Estadio Benito Villamarín,Jesús Gil,Match Report,
11,Sun,2022-10-23,18:30,Girona,0.4,1–1,0.6,Osasuna,10,032,Estadi Municipal de Montilivi,Juan Pulido,Match Report,
11,Sun,2022-10-23,18:30,Villarreal,1.0,2–1,1.0,Almería,13,816,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
11,Sun,2022-10-23,21:00,Barcelona,1.4,4–0,0.5,Athletic Club,84,817,Camp Nou,Juan Martínez,Match Report,
11,Mon,2022-10-24,21:00,Celta Vigo,0.7,1–1,0.2,Getafe,9,774,Estadio de Balaídos,Pablo González,Match Report,
12,Fri,2022-10-28,21:00,Mallorca,1.4,1–1,0.3,Espanyol,13,982,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
12,Sat,2022-10-29,14:00,Almería,2.3,3–1,0.3,Celta Vigo,11,080,Power Horse Stadium,Carlos del Cerro,Match Report,
12,Sat,2022-10-29,16:15,Cádiz,1.1,3–2,1.3,Atlético Madrid,18,183,Estadio Nuevo Mirandilla,José Sánchez,Match Report,
12,Sat,2022-10-29,18:30,Sevilla,1.2,0–1,0.7,Rayo Vallecano,36,601,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
12,Sat,2022-10-29,21:00,Valencia,0.2,0–1,1.6,Barcelona,46,007,Estadio de Mestalla,Ricardo de Burgos,Match Report,
12,Sun,2022-10-30,14:00,Osasuna,2.5,2–0,0.5,Valladolid,19,429,Estadio El Sadar,Guillermo Cuadra,Match Report,
12,Sun,2022-10-30,16:15,Real Madrid,2.9,1–1,1.4,Girona,58,367,Estadio Santiago Bernabéu,Mario Melero,Match Report,
12,Sun,2022-10-30,18:30,Athletic Club,1.7,1–0,0.3,Villarreal,46,081,San Mamés,Miguel Ángel Ortiz Arias,Match Report,
12,Sun,2022-10-30,21:00,Real Sociedad,0.9,0–2,1.3,Betis,32,435,Reale Arena,Javier Villanueva,Match Report,
12,Mon,2022-10-31,21:00,Elche,1.3,0–1,0.4,Getafe,19,588,Estadio Manuel Martínez Valero,César Soto,Match Report,
13,Fri,2022-11-04,21:00,Girona,1.0,2–1,0.7,Athletic Club,11,420,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
13,Sat,2022-11-05,14:00,Getafe,0.6,0–0,1.4,Cádiz,10,554,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
13,Sat,2022-11-05,16:15,Valladolid,1.9,2–1,0.2,Elche,20,176,Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
13,Sat,2022-11-05,18:30,Celta Vigo,0.7,1–2,0.4,Osasuna,14,209,Estadio de Balaídos,Jorge Figueroa,Match Report,
13,Sat,2022-11-05,21:00,Barcelona,4.0,2–0,0.5,Almería,92,605,Camp Nou,Pablo González,Match Report,
13,Sun,2022-11-06,14:00,Atlético Madrid,1.9,1–1,0.7,Espanyol,50,007,Estadio Cívitas Metropolitano,Juan Pulido,Match Report,
13,Sun,2022-11-06,16:15,Real Sociedad,1.1,1–1,0.9,Valencia,32,773,Reale Arena,José Luis Munuera,Match Report,
