Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Almería,29,26.4,45.1,38,418,3420,38.0,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,1.29,0.87,2.16,1.24,2.11,1.20,0.85,2.05,1.14,1.99
Athletic Club,26,27.4,51.6,38,418,3420,38.0,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31
Atlético Madrid,27,28.5,50.6,38,418,3420,38.0,68,51,119,67,1,1,92,8,62.3,61.5,48.5,110.0,730,1571,1.79,1.34,3.13,1.76,3.11,1.64,1.28,2.91,1.62,2.89
Barcelona,29,25.9,64.3,38,418,3420,38.0,69,56,125,69,0,2,83,6,75.5,74.0,60.1,134.1,962,2180,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53
Betis,30,28.6,50.6,38,418,3420,38.0,43,26,69,35,8,9,82,15,51.8,44.8,35.1,79.9,620,1272,1.13,0.68,1.82,0.92,1.61,1.36,0.92,2.29,1.18,2.10
Cádiz,38,29.1,41.9,38,418,3420,38.0,29,20,49,25,4,5,116,7,41.6,37.7,27.8,65.5,475,969,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72
Celta Vigo,26,26.7,50.2,38,418,3420,38.0,41,31,72,39,2,3,85,6,42.8,40.4,30.9,71.4,704,1403,1.08,0.82,1.89,1.03,1.84,1.13,0.81,1.94,1.06,1.88
Elche,32,28.3,45.5,38,418,3420,38.0,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.70,0.88,1.60
Espanyol,33,27.6,43.1,38,418,3420,38.0,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09
Getafe,25,27.4,39.9,38,418,3420,38.0,34,21,55,29,5,8,125,9,36.7,30.4,22.5,53.0,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.80,1.39
Girona,29,26.0,51.3,38,418,3420,38.0,55,41,96,47,8,9,92,3,50.4,43.6,37.2,80.8,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.98,2.31,1.15,2.13
Mallorca,31,27.7,41.1,38,418,3420,38.0,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.70,1.62,0.82,1.52
Osasuna,26,27.5,48.0,38,418,3420,38.0,36,30,66,32,4,5,93,7,39.4,35.5,28.2,63.7,545,1356,0.95,0.79,1.74,0.84,1.63,1.04,0.74,1.78,0.93,1.68
Rayo Vallecano,28,27.9,51.2,38,418,3420,38.0,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,1.08,0.76,1.84,0.97,1.74,1.16,0.79,1.95,0.99,1.78
Real Madrid,26,27.4,60.9,38,418,3420,38.0,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,1.92,1.47,3.39,1.68,3.16,1.99,1.49,3.48,1.74,3.23
Real Sociedad,30,25.9,54.6,38,418,3420,38.0,47,36,83,45,2,4,90,2,52.7,49.6,39.5,89.1,692,1483,1.24,0.95,2.18,1.18,2.13,1.39,1.04,2.43,1.30,2.34
Sevilla,35,28.7,52.6,38,418,3420,38.0,47,31,78,43,4,5,120,13,46.3,42.4,32.0,74.5,558,1513,1.24,0.82,2.05,1.13,1.95,1.22,0.84,2.06,1.12,1.96
Valencia,28,24.2,52.0,38,418,3420,38.0,40,23,63,35,5,8,92,8,49.3,43.0,32.5,75.5,786,1472,1.05,0.61,1.66,0.92,1.53,1.30,0.86,2.15,1.13,1.99
Valladolid,36,27.4,48.7,38,418,3420,38.0,32,24,56,29,3,4,94,6,38.6,35.5,28.4,63.9,610,1244,0.84,0.63,1.47,0.76,1.39,1.02,0.75,1.76,0.93,1.68
Villarreal,32,28.4,56.9,38,418,3420,38.0,57,33,90,53,4,7,91,4,61.7,56.1,43.1,99.3,846,1622,1.50,0.87,2.37,1.39,2.26,1.62,1.13,2.76,1.48,2.61
