Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
América,33,34.0,44,442,144,32.6,13.00,4.24,0.09,0.27,18.4,27,5,6,46.8,42.1,0.10,-2.8,-3.1
Atlas,23,34.0,39,426,111,26.1,12.53,3.26,0.08,0.32,18.3,15,3,7,39.4,33.8,0.08,-0.4,+2.2
Atlético,31,34.0,38,382,133,34.8,11.24,3.91,0.08,0.24,20.0,16,6,10,47.6,39.7,0.11,-9.6,-7.7
Cruz Azul,38,34.0,39,348,108,31.0,10.24,3.18,0.09,0.30,18.2,15,7,9,38.9,31.6,0.09,+0.1,+0.4
FC Juárez,41,34.0,24,295,70,23.7,8.68,2.06,0.07,0.29,19.6,14,4,7,29.2,23.5,0.08,-5.2,-3.5
Guadalajara,35,34.0,36,416,141,33.9,12.24,4.15,0.07,0.22,21.1,24,5,5,35.2,31.3,0.08,+0.8,-0.3
León,31,34.0,35,382,109,28.5,11.24,3.21,0.08,0.28,17.9,14,5,8,50.4,44.2,0.12,-15.4,-14.2
Mazatlán,33,34.0,36,308,91,29.5,9.06,2.68,0.10,0.34,20.2,24,5,6,31.5,26.8,0.09,+4.5,+4.2
Monterrey,31,34.0,40,491,152,31.0,14.44,4.47,0.08,0.25,18.8,12,2,7,50.9,45.4,0.09,-10.9,-7.4
Necaxa,37,34.0,35,440,146,33.2,12.94,4.29,0.07,0.21,19.3,16,4,5,41.4,37.5,0.09,-6.4,-6.5
Pachuca,31,34.0,46,521,150,28.8,15.32,4.41,0.08,0.28,19.3,21,4,5,51.1,47.3,0.09,-5.1,-5.3
Puebla,31,34.0,40,481,138,28.7,14.15,4.06,0.06,0.22,19.8,22,9,10,49.0,41.1,0.09,-9.0,-10.1
Querétaro,41,34.0,27,388,96,24.7,11.41,2.82,0.06,0.24,18.7,16,4,5,39.1,35.0,0.09,-12.1,-12.0
Santos,31,34.0,46,495,147,29.7,14.56,4.32,0.08,0.26,21.3,38,8,9,47.4,40.4,0.08,-1.4,-2.4
Tijuana,35,34.0,27,423,127,30.0,12.44,3.74,0.05,0.18,19.5,22,4,7,41.7,36.6,0.09,-14.7,-13.6
Toluca,35,34.0,41,410,126,30.7,12.06,3.71,0.09,0.29,20.0,22,5,8,41.7,35.4,0.09,-0.7,+0.6
UANL,29,34.0,56,480,161,33.5,14.12,4.74,0.11,0.32,18.7,20,5,6,50.6,46.0,0.10,+5.4,+5.0
UNAM,35,34.0,41,475,164,34.5,13.97,4.82,0.08,0.24,19.6,10,2,3,41.3,38.9,0.08,-0.3,+0.1
