Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
América,33,27.4,51.0,34,374,3060,34.0,44,28,72,39,5,6,64,9,46.8,42.1,32.3,74.4,572,1119,1.29,0.82,2.12,1.15,1.97,1.38,0.95,2.33,1.24,2.19
Atlas,23,27.2,51.4,34,374,3060,34.0,39,29,68,36,3,7,76,6,39.4,33.8,26.5,60.3,416,1150,1.15,0.85,2.00,1.06,1.91,1.16,0.78,1.94,0.99,1.77
Atlético,31,26.7,44.3,34,374,3060,34.0,38,25,63,32,6,10,78,5,47.6,39.7,30.7,70.4,395,1029,1.12,0.74,1.85,0.94,1.68,1.40,0.90,2.30,1.17,2.07
Cruz Azul,38,28.6,49.1,34,374,3060,34.0,39,24,63,32,7,9,88,4,38.9,31.6,25.7,57.3,416,1130,1.15,0.71,1.85,0.94,1.65,1.14,0.75,1.90,0.93,1.68
FC Juárez,41,28.3,47.3,34,374,3060,34.0,24,15,39,20,4,7,70,6,29.2,23.5,19.4,42.9,475,996,0.71,0.44,1.15,0.59,1.03,0.86,0.57,1.43,0.69,1.26
Guadalajara,35,25.9,54.7,34,374,3060,34.0,36,21,57,31,5,5,75,7,35.2,31.3,22.9,54.2,541,1169,1.06,0.62,1.68,0.91,1.53,1.04,0.67,1.71,0.92,1.60
León,31,28.8,56.6,34,374,3060,34.0,35,21,56,30,5,8,82,9,50.4,44.2,34.2,78.4,561,1423,1.03,0.62,1.65,0.88,1.50,1.48,1.01,2.49,1.30,2.31
Mazatlán,33,27.6,44.5,34,366,3060,34.0,36,23,59,31,5,6,87,6,31.5,26.8,21.1,47.9,364,861,1.06,0.68,1.74,0.91,1.59,0.93,0.62,1.55,0.79,1.41
Monterrey,31,27.5,50.8,34,374,3060,34.0,40,29,69,38,2,7,72,9,50.9,45.4,34.5,79.9,550,1359,1.18,0.85,2.03,1.12,1.97,1.50,1.01,2.51,1.34,2.35
Necaxa,37,26.2,50.3,34,374,3060,34.0,35,27,62,31,4,5,78,3,41.4,37.5,28.8,66.3,541,1182,1.03,0.79,1.82,0.91,1.71,1.22,0.85,2.06,1.10,1.95
Pachuca,31,27.7,50.3,34,374,3060,34.0,46,33,79,42,4,5,63,6,51.1,47.3,35.9,83.2,627,1290,1.35,0.97,2.32,1.24,2.21,1.50,1.06,2.56,1.39,2.45
Puebla,31,27.6,50.0,34,374,3060,34.0,40,22,62,31,9,10,93,8,49.0,41.1,30.2,71.3,531,948,1.18,0.65,1.82,0.91,1.56,1.44,0.89,2.33,1.21,2.10
Querétaro,41,28.7,47.6,34,374,3060,34.0,27,15,42,23,4,5,81,8,39.1,35.0,26.6,61.7,436,972,0.79,0.44,1.24,0.68,1.12,1.15,0.78,1.93,1.03,1.81
Santos,31,25.5,49.1,34,374,3060,34.0,46,27,73,38,8,9,67,5,47.4,40.4,30.1,70.5,538,1142,1.35,0.79,2.15,1.12,1.91,1.39,0.88,2.28,1.19,2.07
Tijuana,35,27.0,47.7,34,374,3060,34.0,27,16,43,23,4,7,81,4,41.7,36.6,26.7,63.3,491,1173,0.79,0.47,1.26,0.68,1.15,1.23,0.78,2.01,1.08,1.86
Toluca,35,27.2,52.0,34,374,3060,34.0,41,27,68,36,5,8,86,5,41.7,35.4,28.3,63.6,440,1089,1.21,0.79,2.00,1.06,1.85,1.23,0.83,2.06,1.04,1.87
UANL,29,30.2,54.9,34,374,3060,34.0,56,40,96,51,5,6,65,6,50.6,46.0,35.6,81.6,782,1484,1.65,1.18,2.82,1.50,2.68,1.49,1.05,2.54,1.35,2.40
UNAM,35,27.3,48.5,34,374,3060,34.0,41,28,69,39,2,3,73,8,41.3,38.9,32.2,71.1,552,1153,1.21,0.82,2.03,1.15,1.97,1.21,0.95,2.16,1.14,2.09
