Round,Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
Apertura 2022 Regular Season,1,Sat,2022-07-02,17:00 (00:00),Necaxa,1.5,1–3,1.0,Toluca,10669,Estadio Victoria de Aguascalientes,Luis Santander,Match Report,
Apertura 2022 Regular Season,1,Sat,2022-07-02,17:00 (00:00),Guadalajara,1.5,0–0,0.4,FC Juárez,17424,Estadio Akron,Ismael Lopez,Match Report,
Apertura 2022 Regular Season,1,Fri,2022-07-01,20:05 (04:05),Mazatlán,0.6,2–4,2.7,Puebla,9181,Estadio de Mazatlán,Daniel Quintero,Match Report,
Apertura 2022 Regular Season,1,Sun,2022-07-03,12:00 (19:00),UNAM,1.4,1–1,1.2,Tijuana,15092,Estadio Olímpico de Universitario,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,1,Sun,2022-07-03,17:00 (00:00),Atlético,1.1,1–2,2.6,León,10218,Estadio Alfonso Lastras Ramírez,Fernando Hernández,Match Report,
Apertura 2022 Regular Season,1,Sat,2022-07-02,19:05 (02:05),UANL,2.0,2–3,1.3,Cruz Azul,41273,Estadio Universitario de Nuevo León,Oscar Mejia,Match Report,
Apertura 2022 Regular Season,1,Sat,2022-07-02,21:05 (04:05),América,0.8,0–0,0.9,Atlas,27577,Estadio Azteca,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,1,Sun,2022-07-03,19:05 (02:05),Santos,3.9,4–3,2.3,Monterrey,13218,Estadio Nuevo Corona,Jorge Pérez,Match Report,
Apertura 2022 Regular Season,1,Mon,2022-07-04,21:00 (04:00),Pachuca,1.2,2–0,0.8,Querétaro,6167,Estadio Hidalgo,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,2,Fri,2022-07-08,18:00 (02:00),Mazatlán,0.7,0–1,1.4,UANL,12112,Estadio de Mazatlán,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,2,Fri,2022-07-08,19:05 (04:05),Tijuana,0.3,0–2,0.9,FC Juárez,19733,Estadio Caliente,Óscar Macias,Match Report,
Apertura 2022 Regular Season,2,Fri,2022-07-08,21:05 (04:05),Puebla,1.1,1–0,0.7,Santos,14303,Estadio Cuauhtémoc,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,2,Sun,2022-07-10,12:00 (19:00),Toluca,1.5,3–2,4.7,Atlas,22249,Estadio Nemesio Díez,Fernando Hernández,Match Report,
Apertura 2022 Regular Season,2,Sun,2022-07-10,17:00 (00:00),Querétaro,1.0,1–2,1.9,Necaxa,,Estadio La Corregidora,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,2,Sat,2022-07-09,19:00 (02:00),León,0.8,3–3,2.2,UNAM,6924,Estadio León,Jesus Lopez,Match Report,
Apertura 2022 Regular Season,2,Sat,2022-07-09,19:05 (02:05),Guadalajara,1.1,0–1,0.5,Atlético,18363,Estadio Akron,Oscar Mejia,Match Report,
Apertura 2022 Regular Season,2,Sat,2022-07-09,21:05 (04:05),Monterrey,1.2,3–2,1.4,América,41342,Estadio BBVA Bancomer,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,2,Sat,2022-07-09,21:05 (04:05),Cruz Azul,1.3,1–2,2.2,Pachuca,17148,Estadio Azteca,Victor Caceres,Match Report,
Apertura 2022 Regular Season,3,Wed,2022-07-13,21:00 (04:00),América,1.6,1–0,0.6,Toluca,36090,Estadio Azteca,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,3,Sat,2022-07-16,17:00 (00:00),Atlas,1.6,3–2,1.2,Cruz Azul,13185,Estadio Jalisco,Óscar Macias,Match Report,
Apertura 2022 Regular Season,3,Fri,2022-07-15,19:00 (02:00),Puebla,1.1,1–1,0.8,León,15850,Estadio Cuauhtémoc,Erick Miranda,Match Report,
Apertura 2022 Regular Season,3,Fri,2022-07-15,20:05 (04:05),FC Juárez,2.1,1–1,0.4,Querétaro,13453,Estadio Olímpico Benito Juárez,Eduardo Galván,Match Report,
Apertura 2022 Regular Season,3,Sun,2022-07-17,12:00 (19:00),UNAM,1.2,1–0,0.7,Necaxa,15795,Estadio Olímpico de Universitario,Daniel Quintero,Match Report,
Apertura 2022 Regular Season,3,Sun,2022-07-17,17:00 (00:00),Atlético,0.8,0–1,1.7,Monterrey,14842,Estadio Alfonso Lastras Ramírez,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,3,Sat,2022-07-16,19:05 (02:05),Santos,0.7,1–1,1.9,Guadalajara,15611,Estadio Nuevo Corona,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,3,Sun,2022-07-17,19:00 (02:00),UANL,1.4,1–0,0.3,Tijuana,40583,Estadio Universitario de Nuevo León,Victor Caceres,Match Report,
Apertura 2022 Regular Season,3,Mon,2022-07-18,19:00 (02:00),Pachuca,1.4,1–1,0.8,Mazatlán,7482,Estadio Hidalgo,Jorge Camacho,Match Report,
Apertura 2022 Regular Season,4,Wed,2022-07-20,21:05 (04:05),Guadalajara,1.5,0–0,0.8,León,23305,Estadio Akron,Jorge Pérez,Match Report,
Apertura 2022 Regular Season,4,Thu,2022-07-21,21:00 (04:00),Querétaro,0.6,0–3,1.7,Monterrey,,Estadio La Corregidora,Luis Santander,Match Report,
Apertura 2022 Regular Season,4,Sat,2022-07-23,17:00 (00:00),Toluca,3.3,2–1,0.7,Santos,18503,Estadio Nemesio Díez,Diego Montaño,Match Report,
Apertura 2022 Regular Season,4,Fri,2022-07-22,18:00 (02:00),Mazatlán,2.5,1–1,1.8,Atlético,8756,Estadio de Mazatlán,Ismael Lopez,Match Report,
Apertura 2022 Regular Season,4,Fri,2022-07-22,21:05 (04:05),Necaxa,0.4,1–0,0.9,FC Juárez,11510,Estadio Victoria de Aguascalientes,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,4,Sat,2022-07-23,18:05 (03:05),Tijuana,1.5,2–0,0.1,América,29333,Estadio Caliente,Fernando Hernández,Match Report,
Apertura 2022 Regular Season,4,Sat,2022-07-23,19:05 (02:05),Cruz Azul,2.3,2–2,0.5,Puebla,14799,Estadio Azteca,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,4,Sat,2022-07-23,21:05 (04:05),UANL,1.9,2–0,0.4,Atlas,42615,Estadio Universitario de Nuevo León,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,4,Sun,2022-07-24,19:00 (02:00),Pachuca,1.2,0–0,0.9,UNAM,8305,Estadio Hidalgo,Brian Gonzalez,Match Report,
Apertura 2022 Regular Season,5,Tue,2022-07-26,18:00 (02:00),FC Juárez,0.8,0–1,0.7,UANL,13336,Estadio Olímpico Benito Juárez,Fernando Hernández,Match Report,
Apertura 2022 Regular Season,5,Tue,2022-07-26,19:00 (02:00),Monterrey,3.2,1–0,0.1,Puebla,35893,Estadio BBVA Bancomer,Óscar Macias,Match Report,
Apertura 2022 Regular Season,5,Tue,2022-07-26,19:00 (02:00),Atlas,0.8,1–2,1.2,Tijuana,12481,Estadio Jalisco,Diego Montaño,Match Report,
Apertura 2022 Regular Season,5,Tue,2022-07-26,21:05 (04:05),Atlético,1.3,0–0,0.5,Cruz Azul,17628,Estadio Alfonso Lastras Ramírez,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,5,Tue,2022-07-26,21:05 (04:05),León,1.6,0–1,1.5,Toluca,21012,Estadio León,Guillermo Pacheco,Match Report,
Apertura 2022 Regular Season,5,Wed,2022-07-27,19:00 (02:00),Necaxa,0.7,2–0,1.1,Pachuca,11828,Estadio Victoria de Aguascalientes,Jorge Pérez,Match Report,
Apertura 2022 Regular Season,5,Wed,2022-07-27,19:00 (02:00),Querétaro,1.7,2–2,2.6,Guadalajara,,Estadio La Corregidora,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,5,Wed,2022-07-27,21:05 (04:05),UNAM,1.2,1–1,0.5,Mazatlán,35423,Estadio Olímpico de Universitario,Luis Santander,Match Report,
Apertura 2022 Regular Season,6,Sat,2022-07-30,17:00 (00:00),Cruz Azul,0.8,1–0,0.8,Necaxa,14556,Estadio Azteca,Erick Miranda,Match Report,
Apertura 2022 Regular Season,6,Fri,2022-07-29,20:05 (04:05),FC Juárez,0.6,1–1,0.4,Toluca,12854,Estadio Olímpico Benito Juárez,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,6,Sun,2022-07-31,12:00 (19:00),UNAM,0.6,1–1,0.4,Monterrey,26590,Estadio Olímpico de Universitario,Diego Montaño,Match Report,
Apertura 2022 Regular Season,6,Sat,2022-07-30,19:05 (04:05),Tijuana,1.0,2–0,0.5,Mazatlán,20333,Estadio Caliente,Daniel Quintero,Match Report,
Apertura 2022 Regular Season,6,Sat,2022-07-30,19:05 (02:05),UANL,0.9,2–1,1.3,Querétaro,41432,Estadio Universitario de Nuevo León,Ismael Lopez,Match Report,
Apertura 2022 Regular Season,6,Sat,2022-07-30,21:05 (04:05),Guadalajara,1.2,0–0,0.6,Pachuca,20551,Estadio Akron,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,6,Sat,2022-07-30,21:05 (04:05),Puebla,1.8,0–0,0.7,Atlético,12860,Estadio Cuauhtémoc,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,6,Sun,2022-07-31,19:05 (02:05),Santos,0.6,1–0,0.7,Atlas,13671,Estadio Nuevo Corona,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,6,Sun,2022-07-31,21:05 (04:05),León,1.4,3–2,1.0,América,20964,Estadio León,Óscar Macias,Match Report,
Apertura 2022 Regular Season,16,Tue,2022-08-02,20:00 (03:00),Toluca,1.3,1–1,1.0,Puebla,17402,Estadio Nemesio Díez,Victor Caceres,Match Report,
Apertura 2022 Regular Season,16,Wed,2022-08-03,18:00 (02:00),FC Juárez,0.9,1–1,1.0,Atlético,12340,Estadio Olímpico Benito Juárez,Óscar Macias,Match Report,
Apertura 2022 Regular Season,7,Thu,2022-08-04,21:00 (04:00),Atlas,2.4,3–1,1.0,Querétaro,14804,Estadio Jalisco,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,7,Fri,2022-08-05,20:05 (04:05),Mazatlán,0.9,2–1,1.9,Guadalajara,14250,Estadio de Mazatlán,Jorge Camacho,Match Report,
Apertura 2022 Regular Season,7,Sun,2022-08-07,12:00 (19:00),Toluca,3.1,3–1,0.9,Tijuana,17435,Estadio Nemesio Díez,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,7,Sun,2022-08-07,16:00 (23:00),Atlético,0.5,1–2,0.7,Necaxa,9464,Estadio Alfonso Lastras Ramírez,Eduardo Galván,Match Report,
Apertura 2022 Regular Season,7,Sun,2022-08-07,18:05 (01:05),Pachuca,1.5,2–0,0.3,UANL,9516,Estadio Hidalgo,Daniel Quintero,Match Report,
Apertura 2022 Regular Season,7,Sat,2022-08-06,19:05 (02:05),Monterrey,4.0,5–1,1.2,León,37154,Estadio BBVA Bancomer,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,7,Sat,2022-08-06,21:05 (04:05),Santos,1.5,4–0,1.4,Cruz Azul,15530,Estadio Nuevo Corona,Óscar Macias,Match Report,
Apertura 2022 Regular Season,7,Sun,2022-08-07,20:05 (03:05),América,1.1,2–1,2.1,FC Juárez,21957,Estadio Azteca,Luis Santander,Match Report,
Apertura 2022 Regular Season,8,Thu,2022-08-11,21:00 (04:00),Querétaro,1.8,1–1,1.7,Atlético,,Estadio La Corregidora,Erick Miranda,Match Report,
Apertura 2022 Regular Season,8,Sat,2022-08-13,17:00 (00:00),León,0.9,0–3,1.2,Mazatlán,23512,Estadio León,Eduardo Galván,Match Report,
Apertura 2022 Regular Season,8,Fri,2022-08-12,19:05 (04:05),Tijuana,1.4,3–3,0.9,Puebla,12860,Estadio Caliente,Luis Santander,Match Report,
Apertura 2022 Regular Season,8,Fri,2022-08-12,21:00 (04:00),Necaxa,0.6,1–2,0.8,Monterrey,10704,Estadio Victoria de Aguascalientes,Guillermo Pacheco,Match Report,
Apertura 2022 Regular Season,8,Sun,2022-08-14,17:00 (00:00),Cruz Azul,1.2,2–3,2.3,Toluca,21945,Estadio Azteca,Fernando Hernández,Match Report,
Apertura 2022 Regular Season,8,Sat,2022-08-13,19:05 (02:05),UNAM,0.5,0–3,2.6,América,45893,Estadio Olímpico de Universitario,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,8,Sat,2022-08-13,21:05 (04:05),Guadalajara,1.3,1–1,0.3,Atlas,34233,Estadio Akron,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,8,Sun,2022-08-14,19:05 (02:05),UANL,1.6,2–0,1.6,Santos,41385,Estadio Universitario de Nuevo León,Diego Montaño,Match Report,
Apertura 2022 Regular Season,9,Tue,2022-08-16,18:00 (02:00),Mazatlán,0.3,1–1,1.3,Querétaro,10690,Estadio de Mazatlán,Luis Santander,Match Report,
Apertura 2022 Regular Season,9,Tue,2022-08-16,19:00 (02:00),Atlas,0.4,0–1,1.0,FC Juárez,11548,Estadio Jalisco,Adonai Escobedo,Match Report,
Apertura 2022 Regular Season,9,Tue,2022-08-16,21:05 (04:05),Puebla,2.0,2–2,1.3,Necaxa,15070,Estadio Cuauhtémoc,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,9,Wed,2022-08-17,19:00 (02:00),Toluca,0.6,1–1,1.3,Monterrey,26509,Estadio Nemesio Díez,Daniel Quintero,Match Report,
Apertura 2022 Regular Season,9,Wed,2022-08-17,21:05 (04:05),Pachuca,0.4,0–3,1.1,América,10938,Estadio Hidalgo,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,9,Wed,2022-08-17,21:05 (04:05),Cruz Azul,0.7,1–2,1.0,Tijuana,12492,Estadio Azteca,Diego Montaño,Match Report,
Apertura 2022 Regular Season,9,Thu,2022-08-18,19:05 (02:05),Santos,1.4,2–1,0.3,León,10164,Estadio Nuevo Corona,Victor Caceres,Match Report,
Apertura 2022 Regular Season,9,Thu,2022-08-18,21:05 (04:05),Atlético,2.0,3–2,2.2,UNAM,18148,Estadio Alfonso Lastras Ramírez,Óscar Macias,Match Report,
Apertura 2022 Regular Season,10,Sat,2022-08-20,17:00 (00:00),Querétaro,0.4,2–0,0.7,Tijuana,,Estadio La Corregidora,Guillermo Pacheco,Match Report,
Apertura 2022 Regular Season,10,Fri,2022-08-19,19:00 (02:00),Necaxa,1.2,0–4,2.5,Guadalajara,14349,Estadio Victoria de Aguascalientes,Oscar Mejia,Match Report,
Apertura 2022 Regular Season,10,Sun,2022-08-21,12:00 (19:00),UNAM,1.3,1–5,3.0,Santos,12530,Estadio Olímpico de Universitario,Marco Ortíz,Match Report,
Apertura 2022 Regular Season,10,Sun,2022-08-21,17:00 (00:00),Atlético,0.9,1–0,1.2,Toluca,10808,Estadio Alfonso Lastras Ramírez,Diego Montaño,Match Report,
Apertura 2022 Regular Season,10,Sat,2022-08-20,19:05 (02:05),Atlas,1.3,1–1,1.4,Puebla,11430,Estadio Jalisco,César Arturo Ramos,Match Report,
Apertura 2022 Regular Season,10,Sat,2022-08-20,19:05 (02:05),Monterrey,0.7,0–0,0.6,UANL,52810,Estadio BBVA Bancomer,Fernando Guerrero,Match Report,
Apertura 2022 Regular Season,10,Sat,2022-08-20,20:05 (04:05),FC Juárez,1.1,1–1,1.0,Mazatlán,11427,Estadio Olímpico Benito Juárez,Daniel Quintero,Match Report,
