Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ajaccio,36,38.0,637,382,321,236,80,313,693,45.2,380,359,85,274,420,1057,670,10
Angers,33,38.0,652,386,311,268,73,310,610,50.8,300,402,99,303,375,1027,605,13
Auxerre,33,38.0,674,378,337,263,74,313,678,46.2,365,441,118,323,454,1128,782,10
Brest,29,38.0,705,417,348,289,68,356,740,48.1,384,435,115,320,475,1180,686,13
Clermont Foot,28,38.0,685,398,350,250,85,351,779,45.1,428,424,126,298,440,1125,571,17
Lens,29,38.0,540,323,225,238,77,262,570,46.0,308,401,112,289,339,879,559,7
Lille,26,38.0,635,370,266,265,104,314,658,47.7,344,390,74,316,301,936,543,13
Lorient,30,38.0,736,420,409,244,83,315,690,45.7,375,484,141,343,369,1105,849,17
Lyon,29,38.0,723,423,306,282,135,367,771,47.6,404,433,107,326,481,1204,542,12
Marseille,30,38.0,685,404,271,304,110,301,591,50.9,290,366,101,265,420,1105,570,11
Monaco,27,38.0,696,400,284,310,102,323,701,46.1,378,459,120,339,426,1122,549,14
Montpellier,31,38.0,684,413,362,249,73,361,745,48.5,384,448,121,327,404,1088,686,9
Nantes,29,38.0,709,431,367,249,93,367,730,50.3,363,427,107,320,431,1140,731,8
Nice,34,38.0,818,467,415,295,108,382,680,56.2,298,419,115,304,413,1231,588,9
Paris S-G,26,38.0,612,362,253,255,104,339,693,48.9,354,378,109,269,296,908,432,20
Reims,34,38.0,703,407,338,259,106,339,747,45.4,408,468,127,341,397,1100,633,15
Rennes,32,38.0,600,335,255,251,94,289,616,46.9,327,392,91,301,341,941,587,10
Strasbourg,29,38.0,690,409,316,284,90,344,666,51.7,322,423,98,325,437,1127,688,5
Toulouse,29,38.0,716,406,349,264,103,368,842,43.7,474,476,138,338,409,1125,656,15
Troyes,32,38.0,608,361,333,207,68,272,606,44.9,334,416,144,272,398,1006,779,5
