Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ajaccio,36,38.0,86,10,2,541,495,63,631,420,382,8,10,2,2053,602,711,45.8
Angers,33,38.0,69,5,3,492,422,47,584,375,386,4,11,4,2025,436,441,49.7
Auxerre,33,38.0,54,6,4,462,419,48,617,454,378,6,6,1,2078,487,566,46.2
Brest,29,38.0,63,2,0,499,462,59,755,475,417,7,9,2,2115,633,569,52.7
Clermont Foot,28,38.0,72,5,2,426,592,52,564,440,398,7,12,0,2051,410,427,49.0
Lens,29,38.0,63,3,0,492,481,62,791,339,323,7,3,1,1975,406,369,52.4
Lille,26,38.0,82,1,0,497,480,64,624,301,370,10,4,3,2138,440,463,48.7
Lorient,30,38.0,48,4,3,397,501,49,434,369,420,5,2,1,2019,407,479,45.9
Lyon,29,38.0,61,3,1,500,453,57,649,481,423,5,11,3,2144,452,438,50.8
Marseille,30,38.0,63,4,1,533,419,68,751,420,404,3,5,3,2291,491,484,50.4
Monaco,27,38.0,64,5,3,488,411,84,661,426,400,8,5,3,2203,515,457,53.0
Montpellier,31,38.0,68,10,1,488,523,71,673,404,413,6,11,2,2095,480,553,46.5
Nantes,29,38.0,65,4,2,481,414,54,820,431,431,3,9,4,2075,592,598,49.7
Nice,34,38.0,53,3,1,383,376,51,690,413,467,5,5,0,2143,392,365,51.8
Paris S-G,26,38.0,57,5,2,380,416,77,399,296,362,5,5,1,1938,245,201,54.9
Reims,34,38.0,70,9,2,507,423,85,707,397,407,7,3,2,2368,472,465,50.4
Rennes,32,38.0,58,6,2,465,379,54,564,341,335,3,5,1,2035,538,520,50.9
Strasbourg,29,38.0,73,7,2,529,474,43,647,437,409,6,11,0,2132,677,573,54.2
Toulouse,29,38.0,62,3,3,473,413,74,660,409,406,2,7,3,2168,483,460,51.2
Troyes,32,38.0,55,5,1,402,404,57,517,398,361,4,8,2,1986,476,495,49.0
