Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ajaccio,36,38.0,22,311,81,26.0,8.18,2.13,0.05,0.20,18.1,12,6,9,36.1,29.4,0.10,-14.1,-13.4
Angers,33,38.0,31,367,121,33.0,9.66,3.18,0.07,0.22,17.5,18,4,4,40.9,37.8,0.11,-9.9,-10.8
Auxerre,33,38.0,32,420,117,27.9,11.05,3.08,0.06,0.21,19.6,15,7,9,42.7,35.7,0.09,-10.7,-10.7
Brest,29,38.0,43,417,132,31.7,10.97,3.47,0.09,0.27,17.4,13,7,8,43.3,37.1,0.09,-0.3,-1.1
Clermont Foot,28,38.0,44,393,139,35.4,10.34,3.66,0.09,0.27,18.3,16,7,10,47.5,39.6,0.10,-3.5,-2.6
Lens,29,38.0,66,518,177,34.2,13.63,4.66,0.12,0.34,16.4,6,6,9,66.9,60.0,0.12,-0.9,0.0
Lille,26,38.0,65,545,201,36.9,14.34,5.29,0.10,0.27,16.8,16,11,12,68.7,60.0,0.12,-3.7,-6.0
Lorient,30,38.0,49,397,149,37.5,10.45,3.92,0.11,0.30,17.9,16,4,6,44.5,39.8,0.10,+4.5,+5.2
Lyon,29,38.0,63,511,199,38.9,13.45,5.24,0.11,0.29,16.7,18,6,8,61.1,54.8,0.11,+1.9,+2.2
Marseille,30,38.0,61,546,173,31.7,14.37,4.55,0.10,0.32,16.7,16,6,7,65.3,60.0,0.11,-4.3,-5.0
Monaco,27,38.0,69,470,199,42.3,12.37,5.24,0.14,0.32,17.0,10,5,8,62.1,55.7,0.12,+6.9,+8.3
Montpellier,31,38.0,64,435,165,37.9,11.45,4.34,0.13,0.35,18.3,22,7,7,52.2,46.7,0.11,+11.8,+10.3
Nantes,29,38.0,35,443,151,34.1,11.66,3.97,0.07,0.21,18.1,16,3,5,42.8,39.0,0.09,-7.8,-7.0
Nice,34,38.0,47,507,187,36.9,13.34,4.92,0.08,0.22,17.8,11,6,7,57.2,51.8,0.10,-10.2,-10.8
Paris S-G,26,38.0,86,562,242,43.1,14.79,6.37,0.14,0.33,16.2,28,5,7,78.2,72.6,0.13,+7.8,+8.4
Reims,34,38.0,45,516,165,32.0,13.58,4.34,0.07,0.23,18.1,17,7,8,61.5,55.2,0.11,-16.5,-17.2
Rennes,32,38.0,66,526,189,35.9,13.84,4.97,0.12,0.33,16.3,15,3,3,61.4,59.0,0.12,+4.6,+4.0
Strasbourg,29,38.0,48,442,150,33.9,11.63,3.95,0.10,0.29,17.5,21,5,7,48.5,42.8,0.10,-0.5,+0.2
Toulouse,29,38.0,50,453,171,37.7,11.92,4.50,0.10,0.27,16.3,19,4,4,52.5,49.4,0.11,-2.5,-3.4
Troyes,32,38.0,43,390,130,33.3,10.26,3.42,0.10,0.29,18.2,8,5,5,39.1,35.6,0.09,+3.9,+2.4
