Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arouca,29,34.0,568,342,305,211,52,282,594,47.5,312,369,114,255,355,923,777,7
Benfica,32,34.0,660,395,243,305,112,365,654,55.8,289,327,52,275,364,1024,390,7
Boavista,30,34.0,562,333,293,222,47,271,550,49.3,279,282,69,213,362,924,636,4
Braga,31,34.0,530,314,222,222,86,265,582,45.5,317,373,95,278,374,904,587,3
Casa Pia,31,34.0,551,318,269,248,34,297,641,46.3,344,414,128,286,350,901,709,9
Chaves,31,34.0,477,303,240,182,55,247,561,44.0,314,428,158,270,336,813,739,10
Estoril,33,34.0,513,316,251,209,53,270,512,52.7,242,334,121,213,250,763,646,12
Famalicão,33,34.0,587,360,300,227,60,280,596,47.0,316,396,127,269,330,917,717,5
Gil Vicente FC,32,34.0,539,316,253,209,77,285,572,49.8,287,369,114,255,306,845,593,6
Marítimo,39,34.0,594,362,282,234,78,313,582,53.8,269,344,93,251,333,927,554,11
Paços,36,34.0,487,292,254,170,63,248,530,46.8,282,347,115,232,330,817,656,16
Portimonense,35,34.0,532,331,241,225,66,241,515,46.8,274,399,126,273,339,871,722,12
Porto,28,34.0,593,358,251,234,108,305,617,49.4,312,324,67,257,333,926,487,7
Rio Ave,30,34.0,542,334,264,231,47,271,548,49.5,277,390,129,261,298,840,700,12
Santa Clara,34,34.0,546,342,262,228,56,274,578,47.4,304,366,112,254,314,860,735,7
Sporting CP,32,34.0,595,352,203,298,94,312,597,52.3,285,295,70,225,293,888,363,7
Vitória,35,34.0,579,352,325,187,67,287,541,53.0,254,359,97,262,350,929,703,5
Vizela,30,34.0,558,319,262,227,69,296,546,54.2,250,370,132,238,381,939,817,5
