Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arouca,29,34.0,78,4,0,474,392,52,427,355,342,5,10,1,1811,457,476,49.0
Benfica,32,34.0,65,3,3,437,424,84,807,364,395,10,2,1,2028,445,378,54.1
Boavista,30,34.0,106,7,3,498,432,66,661,362,333,4,7,2,1788,367,480,43.3
Braga,31,34.0,86,6,3,431,398,60,702,374,314,4,5,0,1860,442,408,52.0
Casa Pia,31,34.0,99,6,4,485,446,70,585,350,318,2,7,2,1960,379,437,46.4
Chaves,31,34.0,109,10,6,448,471,55,603,336,303,9,10,0,1726,403,417,49.1
Estoril,33,34.0,99,5,4,495,535,46,576,250,316,1,14,1,1604,389,440,46.9
Famalicão,33,34.0,86,7,1,497,549,52,668,330,360,5,9,2,1702,495,513,49.1
Gil Vicente FC,32,34.0,81,2,1,487,422,62,710,306,316,5,3,0,1779,432,402,51.8
Marítimo,39,34.0,107,10,4,503,489,63,685,333,362,3,9,1,1804,493,444,52.6
Paços,36,34.0,110,10,6,514,510,54,740,330,292,3,3,4,1617,402,477,45.7
Portimonense,35,34.0,99,4,2,496,421,72,653,339,331,6,4,1,1844,616,501,55.1
Porto,28,34.0,76,5,3,500,473,79,634,333,358,8,4,3,1925,606,421,59.0
Rio Ave,30,34.0,91,6,1,506,494,70,609,298,334,5,4,3,1699,407,462,46.8
Santa Clara,34,34.0,114,7,4,507,478,83,564,314,342,5,13,3,1789,509,522,49.4
Sporting CP,32,34.0,87,3,1,425,409,70,843,293,352,8,4,1,1881,355,293,54.8
Vitória,35,34.0,118,10,6,522,511,57,614,350,352,5,3,1,1765,468,549,46.0
Vizela,30,34.0,102,5,3,442,434,70,571,381,319,3,9,1,1778,471,516,47.7
