Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arouca,29,34.0,36,355,119,33.5,10.44,3.50,0.09,0.26,21.2,9,5,6,39.7,35.0,0.10,-3.7,-4.0
Benfica,32,34.0,78,568,193,34.0,16.71,5.68,0.12,0.36,16.1,26,9,13,87.1,77.0,0.14,-9.1,-8.0
Boavista,30,34.0,43,365,118,32.3,10.74,3.47,0.11,0.35,18.8,13,2,4,40.8,37.6,0.11,+2.2,+3.4
Braga,31,34.0,72,552,217,39.3,16.24,6.38,0.12,0.31,18.2,16,4,6,59.0,54.2,0.10,+13.0,+13.8
Casa Pia,31,34.0,29,378,112,29.6,11.12,3.29,0.07,0.23,18.6,7,3,4,37.6,34.5,0.09,-8.6,-8.5
Chaves,31,34.0,34,443,140,31.6,13.03,4.12,0.06,0.19,20.0,24,7,10,44.9,37.1,0.09,-10.9,-10.1
Estoril,33,34.0,33,351,111,31.6,10.32,3.26,0.09,0.27,18.9,11,3,4,33.4,30.3,0.09,-0.4,-0.3
Famalicão,33,34.0,37,425,115,27.1,12.50,3.38,0.08,0.30,18.3,19,3,5,37.6,33.7,0.08,-0.6,+0.3
Gil Vicente FC,32,34.0,31,436,136,31.2,12.82,4.00,0.06,0.19,18.5,17,5,8,45.2,39.0,0.09,-14.2,-13.0
Marítimo,39,34.0,31,465,125,26.9,13.68,3.68,0.06,0.22,19.8,17,4,7,43.4,37.9,0.08,-12.4,-10.9
Paços,36,34.0,25,394,121,30.7,11.59,3.56,0.06,0.18,19.7,22,3,3,32.9,30.5,0.08,-7.9,-8.5
Portimonense,35,34.0,25,389,114,29.3,11.44,3.35,0.06,0.19,17.8,9,3,7,39.8,34.3,0.09,-14.8,-12.3
Porto,28,34.0,71,509,180,35.4,14.97,5.29,0.12,0.34,16.5,14,10,12,74.0,65.2,0.13,-3.0,-4.2
Rio Ave,30,34.0,35,380,116,30.5,11.18,3.41,0.08,0.28,20.1,18,3,6,35.8,30.9,0.08,-0.8,+1.1
Santa Clara,34,34.0,26,353,111,31.4,10.38,3.26,0.06,0.18,19.0,16,6,7,35.2,29.7,0.08,-9.2,-9.7
Sporting CP,32,34.0,66,544,185,34.0,16.00,5.44,0.11,0.32,17.1,15,7,10,69.9,62.0,0.12,-3.9,-3.0
Vitória,35,34.0,34,396,115,29.0,11.65,3.38,0.07,0.25,19.3,13,5,5,35.1,31.4,0.08,-1.1,-2.4
Vizela,30,34.0,30,406,148,36.5,11.94,4.35,0.07,0.20,18.4,14,1,3,42.2,40.0,0.10,-12.2,-11.0
