Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arouca,29,26.0,47.9,34,374,3060,34.0,36,23,59,31,5,6,78,4,39.7,35.0,26.1,61.1,400,1022,1.06,0.68,1.74,0.91,1.59,1.17,0.77,1.94,1.03,1.80
Benfica,32,26.0,63.2,34,374,3060,34.0,78,51,129,69,9,13,65,3,87.1,77.0,61.3,138.3,763,1955,2.29,1.50,3.79,2.03,3.53,2.56,1.80,4.36,2.26,4.07
Boavista,30,27.1,48.4,34,374,3060,34.0,43,35,78,41,2,4,106,7,40.8,37.6,28.8,66.4,518,1087,1.26,1.03,2.29,1.21,2.24,1.20,0.85,2.05,1.11,1.95
Braga,31,26.4,54.3,34,374,3060,34.0,72,50,122,68,4,6,86,6,59.0,54.2,40.8,95.1,612,1511,2.12,1.47,3.59,2.00,3.47,1.73,1.20,2.94,1.60,2.80
Casa Pia,31,28.3,42.0,34,374,3060,34.0,29,20,49,26,3,4,99,6,37.6,34.5,27.6,62.1,503,1062,0.85,0.59,1.44,0.76,1.35,1.11,0.81,1.92,1.01,1.83
Chaves,31,27.5,46.3,34,374,3060,34.0,34,17,51,27,7,10,109,10,44.9,37.1,26.9,64.0,521,1209,1.00,0.50,1.50,0.79,1.29,1.32,0.79,2.11,1.09,1.88
Estoril,33,24.6,47.6,34,374,3060,34.0,33,26,59,30,3,4,99,5,33.4,30.3,22.3,52.6,500,1015,0.97,0.76,1.74,0.88,1.65,0.98,0.66,1.64,0.89,1.55
Famalicão,33,24.0,47.1,34,374,3060,34.0,37,31,68,34,3,5,86,7,37.6,33.7,29.1,62.8,515,1096,1.09,0.91,2.00,1.00,1.91,1.11,0.86,1.96,0.99,1.85
Gil Vicente FC,32,25.9,53.7,34,374,3060,34.0,31,19,50,26,5,8,81,2,45.2,39.0,29.1,68.2,576,1428,0.91,0.56,1.47,0.76,1.32,1.33,0.86,2.19,1.15,2.00
Marítimo,39,26.7,48.4,34,374,3060,34.0,31,21,52,27,4,7,107,10,43.4,37.9,29.2,67.1,487,1199,0.91,0.62,1.53,0.79,1.41,1.28,0.86,2.13,1.12,1.97
Paços,36,26.6,46.5,34,374,3060,34.0,25,17,42,22,3,3,110,10,32.9,30.5,24.1,54.6,523,1040,0.74,0.50,1.24,0.65,1.15,0.97,0.71,1.68,0.90,1.61
Portimonense,35,25.8,48.9,34,374,3060,34.0,25,15,40,22,3,7,99,4,39.8,34.3,27.7,62.1,389,1072,0.74,0.44,1.18,0.65,1.09,1.17,0.82,1.99,1.01,1.83
Porto,28,27.5,58.4,34,374,3060,34.0,71,49,120,61,10,12,76,5,74.0,65.2,52.6,117.8,741,1624,2.09,1.44,3.53,1.79,3.24,2.18,1.55,3.72,1.92,3.47
Rio Ave,30,26.9,48.6,34,374,3060,34.0,35,29,64,32,3,6,91,6,35.8,30.9,26.5,57.4,523,1148,1.03,0.85,1.88,0.94,1.79,1.05,0.78,1.83,0.91,1.69
Santa Clara,34,25.0,42.4,34,374,3060,34.0,26,18,44,20,6,7,114,7,35.2,29.7,22.9,52.7,402,919,0.76,0.53,1.29,0.59,1.12,1.03,0.67,1.71,0.87,1.55
Sporting CP,32,25.8,63.1,34,374,3060,34.0,66,51,117,59,7,10,87,3,69.9,62.0,50.1,112.1,875,1847,1.94,1.50,3.44,1.74,3.24,2.06,1.47,3.53,1.82,3.30
Vitória,35,24.3,47.8,34,374,3060,34.0,34,25,59,29,5,5,118,10,35.1,31.4,24.9,56.3,516,1132,1.00,0.74,1.74,0.85,1.59,1.03,0.73,1.77,0.92,1.66
Vizela,30,25.8,45.5,34,374,3060,34.0,30,24,54,29,1,3,102,5,42.2,40.0,30.5,70.5,420,1150,0.88,0.71,1.59,0.85,1.56,1.24,0.90,2.14,1.18,2.07
