Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
1,Sat,2022-08-13,18:30,Sampdoria,1.0,0–2,2.2,Atalanta,20,047,Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
1,Sat,2022-08-13,18:30,Milan,2.3,4–2,0.5,Udinese,70,197,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
1,Sat,2022-08-13,20:45,Monza,1.4,1–2,2.1,Torino,10,739,U-Power Stadium,Maurizio Mariani,Match Report,
1,Sat,2022-08-13,20:45,Lecce,0.7,1–2,2.1,Inter,25,353,Stadio Comunale Via Del Mare,Alessandro Prontera,Match Report,
1,Sun,2022-08-14,18:30,Fiorentina,2.0,3–2,1.3,Cremonese,34,461,Stadio Artemio Franchi,Juan Sacchi,Match Report,
1,Sun,2022-08-14,18:30,Lazio,0.7,2–1,1.5,Bologna,45,000,Stadio Olimpico,Luca Massimi,Match Report,
1,Sun,2022-08-14,20:45,Spezia,0.5,1–0,0.7,Empoli,8,360,Stadio Alberto Picco,Daniele Chiffi,Match Report,
1,Sun,2022-08-14,20:45,Salernitana,0.6,0–1,2.4,Roma,26,006,Stadio Arechi,Simone Sozza,Match Report,
1,Mon,2022-08-15,18:30,Hellas Verona,1.1,2–5,2.4,Napoli,16,967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
1,Mon,2022-08-15,20:45,Juventus,2.0,3–0,0.9,Sassuolo,38,725,Allianz Stadium,Antonio Rapuano,Match Report,
2,Sat,2022-08-20,18:30,Torino,0.7,0–0,0.8,Lazio,16,530,Stadio Olimpico di Torino,Marco Piccinini,Match Report,
2,Sat,2022-08-20,18:30,Udinese,1.1,0–0,1.5,Salernitana,17,054,Dacia Arena,Gianluca Aureliano,Match Report,
2,Sat,2022-08-20,20:45,Inter,2.1,3–0,0.5,Spezia,71,212,Stadio Giuseppe Meazza,Davide Ghersini,Match Report,
