Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atalanta,27,38.0,636,364,291,272,73,312,634,49.2,322,455,93,362,421,1057,613,12
Bologna,27,38.0,648,373,310,255,83,297,618,48.1,321,414,131,283,302,950,652,7
Cremonese,33,38.0,704,400,403,228,73,364,729,49.9,365,432,136,296,393,1097,771,13
Empoli,32,38.0,606,364,316,218,72,254,538,47.2,284,449,183,266,280,886,910,4
Fiorentina,30,38.0,581,337,232,260,89,282,531,53.1,249,356,84,272,260,841,473,11
Hellas Verona,36,38.0,605,357,319,228,58,296,562,52.7,266,445,143,302,337,942,745,12
Inter,25,38.0,572,325,247,241,84,258,523,49.3,265,385,110,275,315,887,541,7
Juventus,29,38.0,594,352,296,219,79,288,558,51.6,270,421,131,290,307,901,704,10
Lazio,24,38.0,582,349,261,234,87,277,625,44.3,348,437,126,311,310,892,606,8
Lecce,29,38.0,705,427,347,259,99,319,619,51.5,300,486,112,374,368,1073,826,4
Milan,30,38.0,690,422,327,295,68,300,563,53.3,263,387,126,261,289,979,542,9
Monza,31,38.0,595,355,323,214,58,260,551,47.2,291,380,120,260,334,929,661,13
Napoli,27,38.0,569,313,236,227,106,255,521,48.9,266,374,96,278,287,856,490,7
Roma,30,38.0,624,340,301,257,66,289,617,46.8,328,392,113,279,368,992,590,9
Salernitana,30,38.0,587,337,309,220,58,259,569,45.5,310,409,157,252,329,916,740,13
Sampdoria,40,38.0,589,351,290,240,59,261,558,46.8,297,428,152,276,317,906,688,7
Sassuolo,31,38.0,502,281,237,186,79,216,461,46.9,245,371,122,249,278,780,658,16
Spezia,34,38.0,622,359,290,236,96,254,569,44.6,315,457,161,296,301,923,830,7
Torino,28,38.0,473,265,231,187,55,199,367,54.2,168,337,110,227,292,765,627,9
Udinese,30,38.0,651,365,363,228,60,326,632,51.6,306,437,128,309,314,965,712,8
