Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,27,38.0,83,3,1,470,385,58,652,421,364,6,3,2,2234,575,483,54.3
Bologna,27,38.0,84,3,2,477,426,77,558,302,373,5,9,3,2080,369,447,45.2
Cremonese,33,38.0,81,3,0,458,407,68,659,393,400,5,5,1,2059,562,730,43.5
Empoli,32,38.0,88,7,3,441,459,54,611,280,364,2,6,1,1815,434,519,45.5
Fiorentina,30,38.0,93,3,2,488,511,56,880,260,337,3,8,2,2016,588,517,53.2
Hellas Verona,36,38.0,103,3,0,540,383,74,652,337,357,1,2,3,2238,810,735,52.4
Inter,25,38.0,65,3,2,444,406,68,885,315,325,4,3,3,1948,500,415,54.6
Juventus,29,38.0,74,6,1,456,409,62,731,307,352,6,5,0,1951,486,477,50.5
Lazio,24,38.0,86,2,0,400,471,54,483,310,349,6,2,1,1979,399,381,51.2
Lecce,29,38.0,86,2,1,553,439,68,709,368,427,4,6,3,2120,567,728,43.8
Milan,30,38.0,90,2,2,449,438,61,671,289,422,3,5,1,2051,561,478,54.0
Monza,31,38.0,90,4,1,489,495,69,596,334,355,6,3,1,1845,448,441,50.4
Napoli,27,38.0,47,1,0,389,468,60,681,287,313,8,2,0,2027,483,403,54.5
Roma,30,38.0,82,4,2,446,505,56,595,368,340,6,3,1,1981,543,429,55.9
Salernitana,30,38.0,85,4,1,473,439,67,559,329,337,1,11,0,1981,528,585,47.4
Sampdoria,40,38.0,108,3,2,507,512,55,599,317,351,1,10,2,1913,617,636,49.2
Sassuolo,31,38.0,90,6,3,408,443,43,625,278,281,6,4,2,1756,375,438,46.1
Spezia,34,38.0,103,6,4,519,379,55,655,301,359,2,7,3,2033,535,570,48.4
Torino,28,38.0,81,0,0,506,382,80,610,292,265,2,6,0,2010,590,629,48.4
Udinese,30,38.0,88,3,1,478,476,51,564,314,365,1,7,2,1916,477,406,54.0
