Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,27,26.5,49.9,38,418,3420,38.0,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,1.68,1.11,2.79,1.53,2.63,1.52,1.12,2.64,1.35,2.47
Bologna,27,26.6,54.7,38,418,3420,38.0,52,41,93,46,6,6,84,3,43.8,39.4,31.5,70.9,564,1366,1.37,1.08,2.45,1.21,2.29,1.15,0.83,1.98,1.04,1.87
Cremonese,33,26.0,42.1,38,418,3420,38.0,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107,0.92,0.47,1.39,0.79,1.26,1.02,0.64,1.66,0.87,1.51
Empoli,32,25.3,47.3,38,418,3420,38.0,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64.0,608,1114,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69
Fiorentina,30,26.5,56.1,38,418,3420,38.0,51,37,88,47,4,6,93,3,55.0,50.8,40.2,91.0,789,1627,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39
Hellas Verona,36,26.6,41.2,38,418,3420,38.0,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66
Inter,25,28.8,55.7,38,418,3420,38.0,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624,1.79,1.32,3.11,1.68,3.00,1.79,1.36,3.15,1.70,3.06
Juventus,29,27.7,49.6,38,418,3420,38.0,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.50,1.33,2.37
Lazio,24,28.6,52.1,38,418,3420,38.0,59,37,96,53,6,8,85,2,51.1,44.9,34.3,79.2,683,1381,1.55,0.97,2.53,1.39,2.37,1.35,0.90,2.25,1.18,2.08
Lecce,29,24.8,41.3,38,418,3420,38.0,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232,0.82,0.55,1.37,0.71,1.26,0.95,0.66,1.61,0.83,1.49
Milan,30,26.0,55.6,38,418,3420,38.0,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584,1.61,1.29,2.89,1.47,2.76,1.55,1.21,2.76,1.45,2.66
Monza,31,26.6,55.2,38,418,3420,38.0,46,31,77,41,5,6,90,4,45.9,41.2,33.8,75.0,708,1362,1.21,0.82,2.03,1.08,1.89,1.21,0.89,2.10,1.08,1.97
Napoli,27,26.4,61.8,38,418,3420,38.0,75,57,132,67,8,10,47,1,64.7,56.8,46.8,103.6,907,1804,1.97,1.50,3.47,1.76,3.26,1.70,1.23,2.94,1.50,2.73
Roma,30,27.4,48.6,38,418,3420,38.0,50,33,83,43,7,10,82,4,57.4,49.9,38.9,88.8,684,1217,1.32,0.87,2.18,1.13,2.00,1.51,1.02,2.53,1.31,2.34
Salernitana,30,27.2,44.9,38,418,3420,38.0,46,34,80,44,2,2,85,4,36.7,35.2,26.9,62.0,519,1089,1.21,0.89,2.11,1.16,2.05,0.96,0.71,1.67,0.93,1.63
Sampdoria,40,27.9,46.1,38,418,3420,38.0,23,18,41,22,1,2,108,3,34.1,32.5,24.4,56.9,466,1126,0.61,0.47,1.08,0.58,1.05,0.90,0.64,1.54,0.85,1.50
Sassuolo,31,26.1,49.2,38,418,3420,38.0,46,30,76,37,9,10,90,6,51.6,43.9,36.1,80.0,761,1565,1.21,0.79,2.00,0.97,1.76,1.36,0.95,2.31,1.16,2.11
Spezia,34,25.7,47.4,38,418,3420,38.0,29,18,47,25,4,4,104,6,41.5,38.5,29.3,67.8,553,1163,0.76,0.47,1.24,0.66,1.13,1.09,0.77,1.86,1.01,1.78
Torino,28,25.2,53.2,38,418,3420,38.0,41,34,75,39,2,2,81,0,41.8,40.2,35.0,75.2,684,1328,1.08,0.89,1.97,1.03,1.92,1.10,0.92,2.02,1.06,1.98
Udinese,30,26.1,48.0,38,418,3420,38.0,46,41,87,45,1,2,87,3,46.9,45.4,37.8,83.2,646,1354,1.21,1.08,2.29,1.18,2.26,1.24,0.99,2.23,1.20,2.19
